,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
107,25553,1.0,1998/5/19,GEOC:,1700,Study of Grade Distribution on Electrum Property,1998,1998.0,,1999-05-19,,1998/5/19,18,Electrum,092L03W:,092L014,50,9,59,127,22,36,9,5558392,615935,50.166389,-127.376667,AU:AG:,29.0,,VAN,3.0,ALBI:,Alberni,Alberni,Electrum,092L  227,Zeballos - Kyuquot Area,Electrum,Geochemical,Geochemical,"15521, 17763","Graham, John Donald","Graham, John Donald","Graham, John Donald","Gold, Silver","Limestones, Quartz veins, Quartz carbonate veins, Electrum, Pyrite, Chalcopyrite",2539.86,1.4,1814.185714,1.1,2308.963636,0.934,2719.3361879999998,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25553
220,25691,1.0,1998/9/11,GEOL:GEOC:,2400,Assessment Report on Tuzex Property,1998,1998.0,,1999-09-11,,1998/9/11,45,Tuzex,092C15E:,092C087:,48,52,59,124,41,5,10,5415824,376489,48.883055999999996,-124.684722,,23.0,,VAN,3.0,ALBI:,Alberni,Alberni,Tuzex 1-2,092C  119,Sarita - Gordon River Area,Tuzex 1-2,"Geological,<br>Geochemical","Geological, Geochemical",17406,"Ruza, Lenka","Ruza, Lenka","Allen, Gordon J.",,"Triassic, Karmutsen Formation, Basalts, Pyrite, Pyrrhotite, Chalcopyrite, Quartz veins",4303.0,1.4,3073.571429,1.1,3911.818182,0.934,4607.066381000001,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25691
1328,25882,1.0,1999/4/1,GEOL:GEOC:,8000,Evaluation Report on the Arsenault Property,1999,1998.0,,2000-04-01,,1999/4/1,66,Arsenault,104O13E:,104O082,59,47,59,131,42,6,9,6632196,348425,59.799721999999996,-131.701667,CU:AU:,,,SMI,3.0,ATLN:,Atlin,Atlin,"Twin,<br>Win",104O  011,,"Twin, Win","Geological,<br>Geochemical","Geological, Geochemical","01149, 02976, 03014, 03502, 04094, 08022, 10411, 19082, 20137","Traynor, Steve","Traynor, Steve","Traynor, Steve","Copper, Gold","Big Salmon Complex, Mica schists, Quartzites, Pyrite, Chalcopyrite, Skarns",9609.58,1.416,6786.426554000001,1.112,8641.708633,0.9440000000000001,10179.63983,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25882
1466,25669,1.0,1998/9/30,GEOL:GEOC:,14000,Assessment Report on Check-Mate 2,1998,1998.0,,1999-09-30,,1998/9/30,46,Check-Mate 2,104K07E:,104K047,58,27,59,132,44,7,8,6482862,632105,58.466389,-132.735278,AU:,,,SMI,3.0,ATLN:,Atlin,Atlin,Check-Mate 2,104K  078,,Check-Mate 2,"Geological,<br>Geochemical","Geological, Geochemical","13107, 16726, 21968, 23612","Aspinall, Nicholas Clive","Aspinall, Nicholas Clive","Aspinall, Nicholas Clive",Gold,"Triassic, Stuhini Group, Sloko Group, Tuffs, Breccias, Agglomerates",12876.14,1.4,9197.242857,1.1,11705.58182,0.934,13786.017130000002,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25669
2417,25734,1.0,1998/11/19,PROS:,2000,Prospecting Report on the Keno Property,1998,1998.0,,1999-11-19,,1998/11/19,16,Keno,093A06E:,093A035,52,18,30,121,2,35,10,5797136,633414,52.308333000000005,-121.043056,AU:AG:CU:MO:WO:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,Keno 18-21,093A  079,,Keno 18-21,Prospecting,Prospecting,"12363, 20040, 24717","Wahl, Herbert Joseph (FMC# 128059); Brown-John, Jack","Wahl, Herbert Joseph (FMC# 128059); Brown-John, Jack","Wahl, Herbert Joseph (FMC# 128059)","Gold, Silver, Copper, Molybdenum/Molybdenite, Tungsten","Triassic, Nicola Group, Argillites, Skarns, Chalcopyrite",2135.25,1.4,1525.1785710000001,1.1,1941.136364,0.934,2286.134904,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25734
2500,25689,1.0,1998/5/19,PROS:,1000,Prospecting Report on Hixon Property,1998,1998.0,,1999-05-19,,1998/5/19,23,Hixon,093G14E:093G15W:,093G043,53,26,30,123,30,22,10,5921523,466382,53.441667,-123.506111,AU:,36.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,Hixon 5,"093G  014, 093G  015",Cariboo - Quesnel Belt,Hixon 5,Prospecting,Prospecting,"15926, 12129","Javorsky, David","Javorsky, David","Javorsky, David",Gold,"Quartz sericite schists, Basalts, Argillites, Quartz veins, Gold, Barkerville Terrane, Quesnel Terrane",2706.0,1.4,1932.857143,1.1,2460.0,0.934,2897.216274,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25689
2734,25748,1.0,1998/9/8,GEOL:,3600,Report on Geological Examination and Sampling of Swamp Property,1998,1998.0,,1999-09-08,,1998/9/8,15,Swamp,093H16W:,093H099,53,58,0,120,16,5,10,5983269,679200,53.966667,-120.268056,BS:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,Swamp 1,,,Swamp 1,Geological,Geological,,"Cardle, T.P.","Cardle, T.P.","McIntyre, Ronald F.",Building Stone,"Cambrian, Mahto Formation, Quartzites",4296.29,1.4,3068.7785710000003,1.1,3905.718182,0.934,4599.882227,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25748
2966,25883,1.0,1999/1/21,GEOP:,6000,Seismic Refraction Investigation on Willow Property,1999,1998.0,,2000-01-21,,1999/1/21,14,Willow,093H04E:,093H012,53,8,0,121,36,5,10,5888017,593569,53.13333299999999,-121.60138899999998,,38.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,Willow 1-2,,Cariboo - Barkerville Camp,Willow 1-2,Geophysical,Geophysical,,"Kocsis, Stephen","Kocsis, Stephen","Hillman, Russell",,"Paleozoic, Downey Succession, Phyllites, Siltstones, Hardscrabble Mountain Formation",6380.5,1.416,4506.002825,1.112,5737.8597119999995,0.9440000000000001,6759.004237,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25883
3123,25832,1.0,1998/11/10,GEOP:,6000,Geophysical Report on the St. Lawrence Creek Placer Gold Property,1998,1998.0,,1999-11-10,,1998/11/10,33,St. Lawrence Creek,093H03W:,093H003,53,2,0,121,26,5,10,5877124,604962,53.033333,-121.434722,AU:,38.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,"PL 2367,<br>PL 4972,<br>St. Lawrence 1-4",,Cariboo - Barkerville Camp,"PL 2367, PL 4972, St. Lawrence 1-4",Geophysical,Geophysical,24285,"Jones, Brian A. (113427)","Jones, Brian A. (113427)","Jones, Brian A. (113427); Belisle, Jill",Gold,"Tertiary, Quaternary, Placer, Placer gold, Downey Succession",7685.0,1.4,5489.285714,1.1,6986.363636,0.934,8228.051392,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25832
3495,25876,1.0,1999/3/10,GEOP:GEOL:PHYS:GEOC:,8000,"Geological, Geochemical and Geophysical Report on the Hen Project",1999,1998.0,,2000-03-10,,1999/3/10,44,Hen,093A02E:093A02W:,093A007:,52,1,50,120,40,30,10,5766988,659493,52.030556,-120.675,,,,KAM,3.0,CBOO:,Cariboo,Cariboo,"Ledge 1,<br>Skarn 1-4",,,"Ledge 1, Skarn 1-4","Geophysical,<br>Geological,<br>Physical,<br>Geochemical","Geophysical, Geological, Physical, Geochemical","11910, 23214, 23770, 25056, 25575","Ridley, David W. (FMC 122739)","Ridley, David W. (FMC 122739)","Ridley, David W. (FMC 122739)",,"Triassic-Jurassic, Nicola Group, Basalts, Hornfels, Skarns",12490.55,1.416,8821.009887,1.112,11232.50899,0.9440000000000001,13231.51483,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25876
