,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
786,37455,1.0,2018/2/8,GEOC:,73220,"Rock, Soil, Silt and Moss Mat Geochemistry Columbia Shear Mineral Property",2018,2017.0,,2019-02-08,,2018/2/8,160,Columbia Shear,092F02E:,092F008:,49,1,28,124,35,0,10,5431381,384250,49.024444,-124.58333300000001,AU:AG:CU:NI:PT:PD:,24.0,,NAN,3.0,ALBI:,Alberni,Alberni,"739622,<br>841870,<br>845143,<br>845209,<br>846577,<br>848003,<br>848437,<br>1049905","082F  461, 082F  339, 082F  311, 082F  603, 082F  463, 082F  466, 082F  148, 082F  468, 082F  218, 082F  282, 082F  149, 082F  284",Sicker Belt,"739622, 841870, 845143, 845209, 846577, 848003, 848437, 1049905",Geochemical,Geochemical,"34073, 32811, 26280, 16167, 13495, 17769, 16982, 12444, 13954, 14376, 11315, 14993, 19280, 17845",New Point Exploration Corp.,"Lynes, Craig A. (FMC 116233)","MacIntyre, Donald George","Gold, Silver, Copper, Nickel, Platinum, Palladium","Mississippian-Permian, Buttle Lake Group, Mount Mark Formation, Limestone, Devonian, Sicker Group, Nitinat Formation, Calc-alkaline volcanics, McLaughlin Ridge Formation, Volcaniclastics, Duck Lake Formation, Basaltic volcanic rocks, Jurassic, Island Plutonic Suite, Granodiorite, Intrusive rocks, Greenschist, Metavolcanics, Copper, Molybdenum, Veins, Stockwork, Mesothermal veins, Gold, Quartz-carbonate veins",77972.6,1.926,40484.21599,1.514,51501.0568,1.284,60726.32399,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37455
1655,37362,1.0,2017/12/24,GEOP:GEOC:,37624,2017 Exploration Report on Geochemical and Geophysical Program,2018,2017.0,,2018-12-24,,2017/12/24,235,O'Donnell River,104N06E:,104N044:,59,26,1,133,14,7,8,6589664,600102,59.433611,-133.235278,AU:,53.0,,SMI,3.0,ATLN:,Atlin,Atlin,"1048622,<br>1048623,<br>1048624,<br>1048639,<br>1048676,<br>1048688",104N  040,Atlin Camp,"1048622, 1048623, 1048624, 1048639, 1048676, 1048688","Geophysical,<br>Geochemical","Geophysical, Geochemical","36714, 13645",Zinex Mining Corp.,"Miller, Janet","Hanslit, Barry; Miller, Janet",Gold,"Mississippian-Permian, Cache Creek Complex, Horsefeed Formation, Limestones, Marble, Calcareous sedimentary rocks, Kedahada Formation, Chert, Siliceous argillites, Siliciclastics, Three Sisters Plutonic Suite, Tonalite, Intrusive rocks, Cache Creek Terrane, Ophiolites, Gold",28960.38,1.926,15036.54206,1.514,19128.38838,1.284,22554.81308,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37362
2435,37382,1.0,2018/1/3,GEOC:,4295,Data Compilation and Geochemical Sampling on the Redwater Creek Property,2018,2017.0,,2019-01-03,,2018/1/3,45,Redwater Creek,093G04E:,093G002:,53,1,0,123,40,5,10,5874333,455184,53.016667000000005,-123.668056,AG:AU:MN:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,"1045246,<br>1052698",093G  011,,"1045246, 1052698",Geochemical,Geochemical,,0163646 B.C. Ltd.,"Hidber, Joseph","VanderWart, Ted (Theodore William)","Silver, Gold, Manganese","Cretaceous, Cretaceous, Skeena Group, Skeena Group, Sedimentary rocks, Sedimentary rocks, Eocene, Eocene, Ootsa Lake Group, Ootsa Lake Group, Rhyolites, Rhyolites, Felsic volcanics, Felsic volcanics, Manganese, Manganese, Eocene-Oligocene, Miocene-Pleistocene, Chilcotin Group, Basaltic volcanics",3114.44,1.926,1617.050883,1.514,2057.0937910000002,1.284,2425.5763239999997,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37382
6733,36985,1.0,2017/6/30,PROS:GEOC:,4952,Geological Assessment Report on a Prospecting and Sampling Program,2018,2017.0,,2018-06-30,,2017/6/30,20,Kootenay Clay,082F16E:,082F100:,49,58,1,116,0,21,11,5535429,571297,49.966944,-116.00583300000001,CY:,,,CRA,4.0,FORT:,Fort Steele,Fort Steele,PINE MARTIN,082FNE123,,PINE MARTIN,"Prospecting,<br>Geochemical","Prospecting, Geochemical",34766,Hi Ho Silver Resources Inc.,"BAKUS, JOHN NICK","Sookochoff, Laurence",Clay,"Cretaceous, Granodiorites, Proterozoic, Purcell Supergroup, Dutch Creek Formation, Sedimentary rocks, Clay, Illite",5533.0,1.926,2872.793354,1.514,3654.557464,1.284,4309.190031,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36985
7035,37642,1.0,2018/4/30,PROS:GEOC:,14684,Report on Prospecting and Rock Geochemistry,2018,2017.0,,2019-04-30,,2018/4/30,45,Penny Man,082G12W:,082G051:,49,33,19,115,54,58,11,5489764,578400,49.555278,-115.91611100000001,CU:,1.0,,CRA,4.0,FORT:,Fort Steele,Fort Steele,"1051729,<br>1051731,<br>1052072",,Purcell Belt (Sullivan),"1051729, 1051731, 1052072","Prospecting,<br>Geochemical","Prospecting, Geochemical","18885, 22073, 22884, 23877, 25008",Kootenay Silver Inc.,"Kennedy, Craig","Kennedy, Tom",Copper,"Proterozoic, Purcell Supergroup, Creston Formation, Sedimentary rocks, Kitchener Formation, Dolomitic carbonate rocks, Copper, Disseminated",14686.98,1.926,7625.638629000001,1.514,9700.779392,1.284,11438.45794,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37642
7317,37566,1.0,2018/5/2,GEOP:,36553,"Acquistion, Processing and Inversion of a Magnetotelluric Profile",2018,2017.0,,2019-05-02,,2018/5/2,24,MB,082F09W:,082F059:,49,33,30,116,22,15,11,5489716,545502,49.558333000000005,-116.370833,AU:AG:CU:PB:ZN:,1.0,,CRA,3.0,FORT:,Fort Steele,Fort Steele,"1041043,<br>1051787",082FNE176,Purcell Belt (Sullivan),"1041043, 1051787",Geophysical,Geophysical,"29315, 36666",Kootenay Silver Inc.,"Lavoie, Darlene (132094)","Cook, Frederick A.","Gold, Silver, Copper, Lead, Zinc","Proterozoic, Purcell Supergroup, Aldridge Formation, Argillites, Greywackes, Wackes, Conglomerate turbidites",34084.09,1.926,17696.82762,1.514,22512.60898,1.284,26545.241430000002,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37566
7698,37422,1.0,2018/1/25,GEOC:,123732,Rock Geochemistry Report Mark and Spike's STA Mineral Claim,2018,2017.0,,2019-01-25,,2018/1/25,94,Mark,092G16E:,092H081:,49,49,42,122,1,36,10,5520000,570000,49.828333,-122.02666699999999,CU:PB:ZN:AG:,1.0,,CRA,3.0,FORT:,Fort Steele,Fort Steele,"1044387,<br>1047282,<br>1049618,<br>1049620,<br>1049621,<br>1049623,<br>1049624,<br>1049625,<br>1049626,<br>1049627,<br>1049628,<br>1049629,<br>1049630,<br>1049631,<br>1049632,<br>1049633,<br>1049634,<br>1053034,<br>1053035",,Purcell Belt (Sullivan),"1044387, 1047282, 1049618, 1049620, 1049621, 1049623, 1049624, 1049625, 1049626, 1049627, 1049628, 1049629, 1049630, 1049631, 1049632, 1049633, 1049634, 1053034, 1053035",Geochemical,Geochemical,"00355, 26634, 26929, 27181, 36942, 36943",Kootenay Silver Inc.,"Kennedy, Robert Duncan Craig","Kennedy, S.","Copper, Lead, Zinc, Silver","Proterozoic, Purcell Supergroup, Kitchener Formation, Dolomitic carbonate rocks, Creston Formation, Aldridge Formation, Argillites, Greywackes, Wackes, Conglomerate turbidites, Mesoproterozoic, Chalcopyrite, Malachite, Bornite, Quartzites, Dolomites, Sedimentary rocks",123758.77,1.926,64256.88993,1.514,81742.91281000001,1.284,96385.33489,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37422
7919,37418,1.0,2018/1/18,DRIL:,720544,Assessment Report for Diamond Drilling - Silver Fox Property,2018,2017.0,,2019-01-18,,2018/1/18,177,SIlver Fox,082G04E:,082G012:082G022:,49,7,45,115,38,10,11,5442725,599499,49.129166999999995,-115.63611100000001,CU:PB:ZN:AG:,,,CRA,3.0,FORT:,Fort Steele,Fort Steele,"836269,<br>1030691,<br>835425,<br>835948,<br>835953","082GSW089, 082GSW073, 082GSW072, 082GSW088, 082GSW070, 082GSW087",,"836269, 1030691, 835425, 835948, 835953",Drilling,Drilling,"00001, 00041, 10907, 16681, 18219, 20753, 20705, 20483, 22503, 25799, 26018, 28069, 27805, 28450, 29290, 29809, 29810, 29609, 30660, 31658, 32645, 33261, 33379",Kootenay Silver Inc.,"Kennedy, Robert Duncan Craig","Kennedy, S.","Copper, Lead, Zinc, Silver","Proterozoic, Purcell Supergroup, Kitchener Formation, Dolomitic carbonate rocks, Creston Formation, Sedimentary rocks, Veins, Stratabound, Base metals, Precious metals",720552.81,1.926,374118.8006,1.514,475926.5588,1.284,561178.2009,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37418
8358,37265,1.0,2017/11/11,GEOP:,28441,Assessment Report Regarding a Gravity Survey - Fen Property,2018,2017.0,,2018-11-11,,2017/11/11,32,Fen Property,082J05E:,082J043:,50,29,0,115,33,4,11,5593375,602791,50.483333,-115.551111,PB:ZN:CU:AG:,,,CRA,3.0,GOLD:,Golden,Golden,"FENNW,<br>1047958,<br>FNSE,<br>POINT4",,,"FENNW, 1047958, FNSE, POINT4",Geophysical,Geophysical,"07798, 12440, 28587, 32801, 33893, 34420, 36405",Fen Resources Ltd.,"Gifford, Robert Gordon","Gifford, Robert Gordon","Lead, Zinc, Copper, Silver","Cambrian-Ordovician, Cambrian, Ottertail Formation, Dolomitic carbonate rocks, Limestones, Slates, Siltstones, Argillites, Chancellor Formation",28446.0,1.926,14769.4704,1.514,18788.639369999997,1.284,22154.20561,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37265
10948,36826,1.0,2017/10/17,GEOC:,12084,Geochemical Report,2017,2017.0,,2018-10-17,,2017/10/17,87,Ren,082M07E:,082M037:,51,20,59,118,44,4,11,5690144,379216,51.349722,-118.734444,NB:TI:TA:YR:PP:RS:,,,KAM,3.0,KAML:,Kamloops,Kamloops,"1048172,<br>1048173,<br>1048179","082M  256, 082M  303",,"1048172, 1048173, 1048179",Geochemical,Geochemical,"11639, 17182, 32959, 33606, 26011, 31675",MGX Minerals Inc. (FMC# 283853),"Kikauka, Andris (FMC # 114051); BAKUS, JOHN NICK","Kikauka, Andris (FMC # 114051)","Niobium/Columbium, Titanium, Tantalum, Yttrium, Phosphate, Rare Earths","Proterozoic-Paleozoic, Monashee Complex, Orthogneisses, Paragneisses, Carbonatites, Rare earths, Shuswap Metamorphic Complex, Pelitic schists, Quartz mica schists, Quartzites, Calc-silicate Metamorphic Rocks",8530.2,1.875,4549.44,1.474,5787.109904999999,1.25,6824.16,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36826
