,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
1057,36136,1.0,2016/6/6,GEOC:,5830,The Tagish Lake Gold Project Geochemical Report,2016,2016.0,,2017-06-06,,2016/6/6,103,Tagish Lake Gold,104M09W:,104M059:,59,30,7,134,17,35,8,6596159,540022,59.501943999999995,-134.293056,AU:CU:,,,SMI,3.0,ATLN:,Atlin,Atlin,"BUCHAN CR,<br>HALE MT",104M  088,,"BUCHAN CR, HALE MT",Geochemical,Geochemical,"23960, 29757",Hard Rock Gold Ltd.,"Lodmell, Richard D.","Lodmell, Richard D.","Gold, Copper","Devonian-Triassic, Boundary Ranges Metamorphic Suite, Greenschists, Greenstones, Jurassic, Aishihik Plutonic Suite, Granodiorites, Nisling Assemblage, Quartz mica schists",4212.0,1.837,2292.8688079999997,1.443,2918.918919,1.224,3441.176471,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36136
2118,37108,1.0,2017/6/19,GEOC:,358317,2016 Gopher/Tuck Mine Technical Report,2018,2016.0,,2018-06-19,,2017/6/19,77,Gopher/Tuck Mine,104N11E:,104N054:,59,30,45,133,12,50,8,6598479,601079,59.5125,-133.213889,AU:,53.0,,SMI,3.0,ATLN:,Atlin,Atlin,"BEAR #3,<br>MARY-4,<br>MARY-5,<br>MARY-6,<br>MARY 1,<br>MARY 2,<br>MARY 3,<br>CAMP 1,<br>Y-KNOT,<br>MAX 2,<br>MAX 3,<br>MAX 6,<br>MEKH 1,<br>MEKH 2,<br>MEKH 3,<br>MEKH 4,<br>GOFUR 1,<br>GOFUR 2,<br>BUC1,<br>BUC2,<br>BUC 3,<br>BUC 4,<br>DALE 1,<br>DALE 2,<br>DALE 3",,Atlin Camp,"BEAR #3, MARY-4, MARY-5, MARY-6, MARY 1, MARY 2, MARY 3, CAMP 1, Y-KNOT, MAX 2, MAX 3, MAX 6, MEKH 1, MEKH 2, MEKH 3, MEKH 4, GOFUR 1, GOFUR 2, BUC1, BUC2, BUC 3, BUC 4, DALE 1, DALE 2, DALE 3",Geochemical,Geochemical,"32258, 34385, 34386",Buckeye Land and Minerals Inc.,"Halstead, Dale","Bush, James G.",Gold,"Mississippian-Jurassic, Cache Creek Complex, Kedahada Formation, Cherts, Argillites, Siliclastic rocks, Placer gold, Placers, Platinum",361613.99,1.926,187753.8889,1.514,238846.7569,1.284,281630.8333,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37108
2378,36319,1.0,2016/7/20,GEOP:,2832,Interpretive Report on BC Government Airborne Geophysics and Regional Stream Sediment Sampling within and around the Marg Property,2016,2016.0,,2017-07-20,,2016/7/20,38,Marg,093B08W:,093B049:,52,28,40,122,20,11,10,5814380,545072,52.477778,-122.33638899999998,CU:MO:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,"1045229, 1045230",,,"1045229, 1045230",Geophysical,Geophysical,"34258, 02225, 02253, 30589",Delore Management,Charles Boitard,David G. Mark,"Copper, Molybdenum/Molybdenite","Miocene, Chilcotin Group, Basalts",2425.0,1.837,1320.087099,1.443,1680.5266809999998,1.224,1981.20915,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36319
2583,36326,1.0,2016/9/30,PROS:GEOC:,6079,Geochemical Sampling & Prospecting Report on the Grizzly Lake Zinc Property,2016,2016.0,,2017-09-30,,2016/9/30,31,Grizzly Lake Zinc,093A14E:093A15W:,093A076:,52,48,0,120,58,5,10,5851958,636986,52.8,-120.968056,ZN:AG:PB:,38.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,"ZINC-OX,<br>ZN-OX MAIN,<br>1035134",093A  065,Cariboo - Barkerville Camp,"ZINC-OX, ZN-OX MAIN, 1035134","Prospecting,<br>Geochemical","Prospecting, Geochemical","02366, 25824, 26176, 30420",Rich River Exploration Ltd.,Craig A. Lynes,Craig A. Lynes,"Zinc, Silver, Lead","Proterozoic, Cariboo Group, Isaac Formation, Cunningham Formation, Yankee Belle Formation, Mudstones, Siltstones, Shales, Galena, Galena, Sphalerite, Sphalerite, Cerrusite, Cerrusite, Smithsonite, Smithsonite, Limestones, Limestones, Dolostones, Dolostones, Pyrite",4280.56,1.837,2330.190528,1.443,2966.431046,1.224,3497.189542,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36326
2768,36868,1.0,2017/6/7,PHYS:GEOC:,4145,Rock and Silt Geochemistry,2017,2016.0,,2018-06-07,,2017/6/7,32,DHC,083D15W:,083D076:,52,47,43,118,59,44,11,5851364,365452,52.795278,-118.99555600000001,06:RS:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,1044902,,,1044902,"Physical,<br>Geochemical","Physical, Geochemical","33926, 34532","VanderWart, Ted (Theodore William); RM Temple Holdings Inc.","VanderWart, Ted (Theodore William)","VanderWart, Ted (Theodore William)","Rare Earth, Rare Earths","Proterozoic, Windermere Supergroup, Miette Group, Coarse Clastic Sedimentary Rocks, Metasandstones, Phyllites, Schists",6086.63,1.875,3246.202667,1.474,4129.328358,1.25,4869.304,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36868
2889,36446,1.0,2017/1/24,GEOL:GEOC:,10986,Geological & Geochemical Report on the Longworth Mineral Property,2017,2016.0,,2018-01-24,,2017/1/24,47,Longworth,093H05E:,093H093:,53,58,59,121,30,5,10,5982676,598270,53.983056000000005,-121.50138899999999,SI:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,"SNOW,<br>SNOWJOB",093H  038,,"SNOW, SNOWJOB","Geological,<br>Geochemical","Geological, Geochemical","14815, 35136, 35953",MGX Minerals Inc. (FMC# 283853),"LAZERSON, JARED (FMC# 249963)","Kikauka, Andris (FMC # 114051)",Silica,"Silurian, Nonda Formation, Greenschists, Greenstones, Limestones, Marbles, Calcareous sedimentary rocks, Quartzites, Quartz arenites",7808.08,1.875,4164.309333,1.474,5297.204885,1.25,6246.464,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36446
3435,36573,1.0,2016/11/30,DRIL:GEOP:GEOC:,15184,2016 Soil and Geochemistry program and Review of the 2011 Diamond Drilling Program,2017,2016.0,,2017-11-30,,2016/11/30,1100,Spanish Mountain,093A11W:,093A054:,52,33,0,121,21,50,10,5823471,610934,52.55,-121.36388899999999,AU:AG:,36.0,,KAM,3.0,CBOO:,Cariboo,Cariboo,WHY WE?,"093A  276, 093A  306",Cariboo - Quesnel Belt,WHY WE?,"Drilling,<br>Geophysical,<br>Geochemical","Drilling, Geophysical, Geochemical","11555, 13869, 28867, 29424, 31186, 31803, 32576",EverGold Corp,"Greig, Charles J. (FMC #143767)","Rowe, Jeffrey D.","Gold, Silver","Triassic, Nicola Group, Volcanic rocks, Sedimentary rocks, Mudstones, Phyllites, Carbonaceous mudstones, Pyrite, Gold, Quartz veins",15190.0,1.875,8101.333333,1.474,10305.291720000001,1.25,12152.0,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36573
4132,36228,1.0,2016/9/27,GEOL:GEOC:,43631,Geological and Geochemical Assessment Report,2016,2016.0,,2017-09-27,,2016/9/27,142,Star Property,093B12E:,093B063:,52,39,0,123,30,35,10,5833459,465516,52.65,-123.509722,AU:AG:CU:PB:ZN:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,"STAR 2,<br>854088,<br>STAR 5",,,"STAR 2, 854088, STAR 5","Geological,<br>Geochemical","Geological, Geochemical","32752, 34430, 35081, 35773",Squire Mining Ltd.,"Dunn, David St. Clair","Wilkins, Andrew L.","Gold, Silver, Copper, Lead, Zinc","Eocene, Ootsa Lake Group, Rhyolites, Eocene-Oligocene, Endako Group, Volcanic rocks",35457.68,1.837,19301.94883,1.443,24572.196809999998,1.224,28968.692810000004,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36228
5404,36391,1.0,2016/8/30,GEOP:PROS:GEOC:,4253,"Assessment Work Report on 2016 Geological , Geochemical & Geophysical Technical Work",2016,2016.0,,2017-08-30,,2016/8/30,59,Clinton Manganese (MN2),092P04E:,092P003:,51,4,4,121,35,55,10,5658296,598190,51.067778000000004,-121.598611,MN:,,,KAM,3.0,CLIN:,Clinton,Clinton,CLINTON MN2,092P  138,,CLINTON MN2,"Geophysical,<br>Prospecting,<br>Geochemical","Geophysical, Prospecting, Geochemical",,Vendome Resources Corp.,"Pirzada, Afzaal","Pirzada, Afzaal",Manganese,"Permian-Triassic, Cache Creek Complex, Marble Canyon Formation, Limestones, Marbles, Calcareous sedimentary rocks, Manganese",4009.87,1.837,2182.836146,1.443,2778.842689,1.224,3276.037582,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36391
5416,36392,1.0,2016/8/30,GEOP:PROS:GEOC:,4184,"Assessment Work Report on 2016 Geological, Geochemical & Geophysical Technical Work",2016,2016.0,,2017-08-30,,2016/8/30,53,Clinton Manganese 3 (MN3),092P04E:,092P003:,51,3,51,121,31,12,10,5658002,603705,51.064167,-121.52,MN:,,,KAM,3.0,CLIN:,Clinton,Clinton,CLINTON MN3,"092P  104, 092P  139",,CLINTON MN3,"Geophysical,<br>Prospecting,<br>Geochemical","Geophysical, Prospecting, Geochemical",,Vendome Resources Corp.,"Pirzada, Afzaal","Pirzada, Afzaal",Manganese,"Permian-Triassic, Cache Creek Complex, Marine sedimentary and volcanic rocks, Manganese, Cretaceous, Coarse Clastic Sedimentary Rocks, Cherts, Tuffs",4422.31,1.837,2407.354382,1.443,3064.663895,1.224,3612.998366,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36392
