,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
2099,35788,1.0,2015/7/24,GEOL:GEOP:PHYS:GEOC:,58286,2015 Gopher Mine Technical Report,2015,2015.0,,2016-07-24,,2015/7/24,89,Gopher,104N11E:,104N024:,59,30,1,133,12,6,8,6597137,601808,59.500278,-133.201667,AU:PT:SN:,53.0,,SMI,3.0,ATLN:,Atlin,Atlin,"Max 3,<br>Camp 1,<br>Bear 3,<br>Mary-5,<br>Mary-6,<br>Mary 1,<br>Mary 2,<br>Mary 3,<br>Y-Knot,<br>Z-Knot,<br>Max 1,<br>Max 6,<br>Mekh 1,<br>Mekh 2,<br>Mekh 3,<br>Mary-4,<br>Camp 1,<br>Max 2,<br>Max 4,<br>Max 5,<br>max 7,<br>Mekh 4,<br>1021060,<br>1021061,<br>Dale 1-3",,Atlin Camp,"Max 3, Camp 1, Bear 3, Mary-5, Mary-6, Mary 1, Mary 2, Mary 3, Y-Knot, Z-Knot, Max 1, Max 6, Mekh 1, Mekh 2, Mekh 3, Mary-4, Camp 1, Max 2, Max 4, Max 5, max 7, Mekh 4, 1021060, 1021061, Dale 1-3","Geological,<br>Geophysical,<br>Physical,<br>Geochemical","Geological, Geophysical, Physical, Geochemical","27852, 29958, 31629, 32258, 33271, 34385, 34386",Buckeye Land and Minerals Inc.,"Halstead, Dale","Bush, James G.","Gold, Platinum, Tin","Mississippian-Jurassic, Cache Creek Complex, Cherts, Argillites, Siliclastic rocks, Placer gold, Placers, Kedahda Formation",262671.33,1.804,145604.9501,1.4169999999999998,185371.4397,1.202,218528.5607,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35788
3190,35878,1.0,2015/10/27,GEOL:GEOP:,10244,Report of Geological Work,2015,2015.0,,2016-10-27,,2015/10/27,45,Redstone,093B05W:,093B041:,52,27,0,123,57,5,10,5811516,435344,52.45,-123.95138899999999,CU:AU:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,REDSTONE 1,,,REDSTONE 1,"Geological,<br>Geophysical","Geological, Geophysical","16937, 30887, 33409",616800 BC Ltd.,"Richards, J. B.","Richards, J. B.","Copper, Gold","Eocene, Ootsa Lake Group, Rhyolites, Eocene-Oligocene, Jurassic, Hazelton Group, Basalts, Flows, Tuffs, Pyrite, Kaolinization, Sandstones, Endako Group",10789.79,1.804,5981.036585,1.4169999999999998,7614.530699,1.202,8976.530782,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35878
3630,35959,1.0,2016/4/19,GEOC:,0,Metallurgical Report on Ben Property,2016,2015.0,,2017-04-19,,2016/4/19,85,Ben,093A04W:,093A001:,52,31,0,122,0,5,10,5818974,567762,52.516667000000005,-122.00138899999999,NI:CO:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,CTZ 19,"093A  285, 093A  286, 093B  072, 093B  073, 093B  074",,CTZ 19,Geochemical,Geochemical,"02696, 03085, 03175, 03176, 03993, 17481, 21309, 25512, 25795, 25914, 26870, 27812, 29876, 32732, 33544, 34737, 35173",Westhaven Ventures Inc.,"Thomas, Gareth Oswald","Peters, L. John","Nickel, Cobalt","Permian-Triassic, Cache Creek Complex, Marine sedimentary and volcanic rocks, Serpentinite Ultramafic Rocks, Magnetite, Jurassic, Granodiorites, Miocene-Pleistocene, Chilcotin Group, Basaltic volcanics, Mudstones, Breccias, Listwanites, Millerite, Hazelwoodite, Pentlandite",18863.03,1.837,10268.38868,1.443,13072.092859999999,1.224,15410.97222,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35959
4210,35773,1.0,2015/9/18,GEOL:GEOC:,27420,Geological and Geochemical Assessment Report,2015,2015.0,,2016-09-18,,2015/9/18,123,Star,093B05E:,093B063:,52,39,0,123,30,5,10,5833455,466080,52.65,-123.50138899999999,AU:AG:CU:PB:ZN:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,"STAR 1,<br>STAR 2,<br>854088,<br>STAR 4,<br>STAR 5,<br>STAR 6",,,"STAR 1, STAR 2, 854088, STAR 4, STAR 5, STAR 6","Geological,<br>Geochemical","Geological, Geochemical","32752, 33301, 34430, 35081",Squire Mining Ltd.,"Dunn, David St. Clair","Wilkins, Andrew L.","Gold, Silver, Copper, Lead, Zinc","Eocene, Ootsa Lake Group, Rhyolites, Eocene-Oligocene, Endako Group, Volcanic rocks",39033.3,1.804,21637.08426,1.4169999999999998,27546.436130000002,1.202,32473.627289999997,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35773
4377,35984,1.0,2015/10/13,GEOC:GEOL:GEOP:,46415,"Geochemical, Geochronology, and LiDAR Surveys",2016,2015.0,,2016-10-13,,2015/10/13,142,Burns Group,093H04E:,093H002:,53,3,44,121,42,32,10,5879972,586520,53.062222,-121.70888899999999,AU:AG:PB:,38.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,"506328,<br>506333,<br>506335,<br>533053,<br>533317,<br>536356,<br>536403,<br>843230,<br>506337,<br>506336","093H  035, 093H  037, 093H  056, 093H  057, 093H  098, 093H  099, 093H  101, 093H  107, 093H  143, 093H  163, 093H  164",Cariboo - Barkerville Camp,"506328, 506333, 506335, 533053, 533317, 536356, 536403, 843230, 506337, 506336","Geochemical,<br>Geological,<br>Geophysical","Geochemical, Geological, Geophysical","07094, 08039, 08820, 12361, 15942, 16315, 16512, 18257, 19538, 27684, 28776, 30716, 31008, 31465, 32340, 34431, 34457, 35152, 35400, 35651",Gemco Minerals Inc.,"Hague, Mark","Justason, Angelique (FMC 133276)","Gold, Silver, Lead","Paleozoic, Snowshoe Group, Greenschists, Greenstones, Proterozoic-Paleozoic, Metamorphic rocks",51240.64,1.837,27893.65269,1.443,35509.79903,1.224,41863.26797,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35984
5955,35901,1.0,2015/12/28,GEOC:,42802,2015 Geochemical Assessment Report,2015,2015.0,,2016-12-28,,2015/12/28,48,Lorn,092O03E:,092O014:,51,6,5,123,12,54,10,5661122,484946,51.101389000000005,-123.215,CU:MO:AU:AG:,,,KAM,3.0,CLIN:,Clinton,Clinton,"LUCKY LORN 3,<br>LORN JAC2,<br>LORN JAC3,<br>LORN JAC5","092O  007, 092O  024",,"LUCKY LORN 3, LORN JAC2, LORN JAC3, LORN JAC5",Geochemical,Geochemical,"03850, 05183, 18715, 22312, 33203, 33997, 34367",Jet Gold Corp. Ltd.,"Chapman, John Arthur (FMC 104633); Carlson, Gerald G.; Paul, Christopher Ryan (FMC 269478)","Paul, Christopher Ryan (FMC 269478)","Copper, Molybdenum/Molybdenite, Gold, Silver","Cretaceous, Powell Creek Formation, Volcaniclastics, Eocene, Granodiorites, Cretaceous-Paleogene, Feldspar porphyries, Taylor Creek Group, Sedimentary rocks, Coarse Clastic Sedimentary Rocks, Pyrite, Pyrrhotite, Molybdenite, Chalcopyrite, Malachite, Azurite, Chrysocolla, Bornite, Quartz monzonites, Quartz diorites, Magnetite",29997.64,1.804,16628.40355,1.4169999999999998,21169.82357,1.202,24956.43927,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35901
6525,35461,1.0,2015/6/11,GEOL:GEOC:,2857,Geological and Geochemical Report,2015,2015.0,,2016-06-11,,2015/6/11,35,Fording R Phosphorite,082G15W:,082G096:,49,54,20,114,50,53,11,5530350,654519,49.905556,-114.848056,PP:,,,CRA,3.0,FORT:,Fort Steele,Fort Steele,1034929,082GNE024,,1034929,"Geological,<br>Geochemical","Geological, Geochemical","05545, 05866, 05867",MGX Minerals Inc. (FMC# 283853),"Kikauka, Andris (FMC # 114051)","Kikauka, Andris (FMC # 114051)",Phosphate,"Triassic, Spray River Group, Mudstones, Siltstones, Shales, Fine Clastic Sedimentary Rocks, Jurassic, Fernie Formation, Sedimentary rocks, Black shales, Calcareous shales, Phosphatic shales, Limestones, Carbonate fluorapatite, Fluorapatite, Phosphorites, Phosphate",2026.08,1.804,1123.104213,1.4169999999999998,1429.837685,1.202,1685.590682,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35461
6574,35436,1.0,2015/5/11,GEOL:GEOC:,3792,Geological and Geochemical Report,2015,2015.0,,2016-05-11,,2015/5/11,33,Marysville,082G12W:,082G051:,49,34,40,115,58,37,11,5492191,573959,49.577778,-115.97694399999999,MT:,1.0,,CRA,3.0,FORT:,Fort Steele,Fort Steele,"MARYSVILLE SOUTH,<br>MAG 1,<br>MARYSVILLE MAGNESIUM",082GNW005,Purcell Belt (Sullivan),"MARYSVILLE SOUTH, MAG 1, MARYSVILLE MAGNESIUM","Geological,<br>Geochemical","Geological, Geochemical","30075, 31236, 31238, 34831",MGX Minerals Inc. (FMC# 283853),"LAZERSON, JARED (FMC# 249963)","Kikauka, Andris (FMC # 114051)",Magnesite,"Proterozoic, Van Creek Formation, Argillites, Greywackes, Wackes, Conglomerate turbidites, Kitchener Formation, Dolomitic carbonate rocks, Proterozoic-Cambrian, Eager Formation, Cranbrook Formation, Limestones, Slates, Siltstones, Lenses, Magnesite, Quartzites, Massive, Semi-massive",2752.24,1.804,1525.631929,1.4169999999999998,1942.300635,1.202,2289.717138,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35436
6595,36175,1.0,2016/6/13,GEOL:GEOC:,4124,"Geological, & Geochemical Report",2016,2015.0,,2017-06-13,,2016/6/13,32,Marysville,082G12W:,082G051:,49,35,28,115,57,53,11,5493685,574822,49.591111,-115.964722,MT:,1.0,,CRA,3.0,FORT:,Fort Steele,Fort Steele,MAG 2,082GNW005,Purcell Belt (Sullivan),MAG 2,"Geological,<br>Geochemical","Geological, Geochemical","34831, 30075, 35436",MGX Minerals Inc. (FMC# 283853),"Kikauka, Andris (FMC # 114051)","Kikauka, Andris (FMC # 114051)",Magnesite,"Proterozoic-Cambrian, Eager Formation, Cranbrook Formation, Limestones, Slates, Siltstones, Argillites, Magnesite, Proterozoic, Purcell Supergroup, Van Creek Formation, Greywackes, Wackes, Conglomerate turbidites",2967.74,1.837,1615.5362,1.443,2056.645877,1.224,2424.624183,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36175
6658,36088,1.0,2016/5/16,GEOL:GEOC:,5611,Geological and Geochemical Report on Mineral Tenures,2016,2015.0,,2017-05-16,,2016/5/16,37,Wonah,082G14W:,082G083:,49,52,48,115,30,3,11,5526366,607706,49.88,-115.50083300000001,SI:,,,CRA,3.0,FORT:,Fort Steele,Fort Steele,"WONAH1,<br>WONAH CALC SILICATE",,,"WONAH1, WONAH CALC SILICATE","Geological,<br>Geochemical","Geological, Geochemical",,MGX Minerals Inc. (FMC# 283853),"Rodgers, Glen M. (FMC#123054); Kikauka, Andris (FMC # 114051)","Kikauka, Andris (FMC # 114051)",Silica,"Cambrian-Ordovician, McKay Group, Mudstones, Siltstones, Shales, Ordovician-Silurian, Beaverfoot Formation, Dolomitic carbonate rocks, Ordovician, Skarns, Quartzites",3966.0,1.837,2158.954818,1.443,2748.440748,1.224,3240.196078,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36088
