,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
196,26096,1.0,1999/9/7,PROS:,1000,Prospecting Report on the Kukutka Property,1999,1998.0,,2000-09-07,,1999/9/7,19,Kukutka,092E16E:,9.20E+91,49,50,31,126,7,58,9,5525001,706144,49.841944,-126.132778,,,,VAN,4.0,ALBI:,Alberni,Alberni,"Kukutka 1,<br>Kukutt 1",,,"Kukutka 1, Kukutt 1",Prospecting,Prospecting,23316,"Specogna, Efrem","Specogna, Efrem","Specogna, Efrem",,"Island Intrusions, Ultrabasics",3850.0,1.416,2718.926554,1.112,3462.2302159999995,0.9440000000000001,4078.3898310000004,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26096
617,25831,1.0,1998/11/16,GEOP:,7500,"Geophysical Report, Induced Polarization Survey on the Mount Redford Property",1998,1998.0,,1999-11-16,,1998/11/16,15,Mount Redford,092F03W:,092F003,49,3,59,125,25,5,10,5437652,323380,49.066389,-125.418056,,25.0,,VAN,3.0,ALBI:,Alberni,Alberni,"KO 5,<br>Draw 8-9",,Tofino - Kennedy River Area,"KO 5, Draw 8-9",Geophysical,Geophysical,,Consolidated Logan Mines Ltd.,"Young, Seamus; Consolidated Logan Mines Ltd.","Sheldrake, Ronald F.; Dujakovic, Zoran",,"Jurassic, Coast Plutonic Complex, Diorites, Basalts, Limestones, Stockworks, Arsenopyrite",19372.0,1.4,13837.14286,1.1,17610.90909,0.934,20740.89936,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25831
697,25829,1.0,1998/11/20,PHYS:GEOC:,40800,Geochemical Report on the Lucky Property,1999,1998.0,,1999-11-20,,1998/11/20,43,Lucky,092F03W:,092F004,49,3,59,125,18,5,10,5437387,331901,49.066389,-125.30138899999999,AU:CU:,25.0,,VAN,3.0,ALBI:,Alberni,Alberni,"KX,<br>K 6-7,<br>SP 1-4,<br>Wick,<br>KNV,<br>Toq 1-6,<br>Peak,<br>KO 1-6,<br>Ridge,<br>KT 1-4,<br>Base 2,<br>CKO 1-3","092F  034, 092F  540, 092F  542",Tofino - Kennedy River Area,"KX, K 6-7, SP 1-4, Wick, KNV, Toq 1-6, Peak, KO 1-6, Ridge, KT 1-4, Base 2, CKO 1-3","Physical,<br>Geochemical","Physical, Geochemical","10626, 11545, 12318, 12545, 12580, 14188, 15685, 17108, 17224, 18491, 18567, 19826, 22163, 22592, 23004, 23312, 23668, 24252, 24306, 25429",Electrum Resource Corp. (FMC 107591),Electrum Resource Corp. (FMC 107591),"Staargaard, C.F.","Gold, Copper","Jurassic, Karmutsen Formation, Basalts, Diorites, Quartz monzonites, Stockworks, Pyrite, Chalcopyrite",31404.0,1.416,22177.9661,1.112,28241.007189999997,0.9440000000000001,33266.94915,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25829
879,25663,1.0,1998/7/3,DRIL:PHYS:GEOC:,55400,Assessment Report on the Snow Property,1998,1998.0,,1999-07-03,,1998/7/3,45,Snow,092F06W:,092F033:,49,18,59,125,25,5,10,5465441,324268,49.316389,-125.418056,AU:,,,VAN,3.0,ALBI:,Alberni,Alberni,Snow 1-2,092F  336,,Snow 1-2,"Drilling,<br>Physical,<br>Geochemical","Drilling, Physical, Geochemical","17269, 17574, 17575, 22443",Snowfield Res.,Area Explorations Ltd.,"Yorston, Robert; Bailey, David G.",Gold,"Triassic, Karmutsen Formation, Island Intrusions, Basalts, Quartz veins, Pyrite, Galena, Sphalerite, Chalcopyrite",169111.81,1.4,120794.15,1.1,153738.0091,0.934,181061.8951,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25663
1336,25816,1.0,1998/10/2,PROS:,6000,Geological Report on the Ericksen-Ashby Property,1998,1998.0,,1999-10-02,,1998/10/2,17,Ericksen-Ashby,104K11W:,104K063,58,40,1,133,28,7,8,6503981,588825,58.666943999999994,-133.468611,,,,SMI,3.0,ATLN:,Atlin,Atlin,Erik 1-3,104K  009,,Erik 1-3,Prospecting,Prospecting,"00076, 00543, 07707, 10026",XPlorer Gold Corp.,XPlorer Gold Corp.,"Thorson, Jon P.",,"Andesites, Basalts, Tuffs, Massive sulphides",9712.0,1.4,6937.142856999999,1.1,8829.090909,0.934,10398.28694,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25816
1340,25460,1.0,1998/3/26,GEOP:PHYS:,9800,"Magnetic and HLEM Survey on the King Salmon Block, Red Cap Property",1998,1998.0,,1999-03-26,,1998/3/26,29,Red Cap,104K14W:104K14E:,104K074:,58,47,1,133,15,7,8,6517276,601052,58.783611,-133.25194399999998,AU:AG:CO:CU:PB:ZN:,,,SMI,3.0,ATLN:,Atlin,Atlin,Red Cap 3,,,Red Cap 3,"Geophysical,<br>Physical","Geophysical, Physical",,XPlorer Gold Corp.,XPlorer Gold Corp.,"Lee, Carmen C.","Gold, Silver, Cobalt, Copper, Lead, Zinc","Triassic, Stuhini Group, Quartz-feldspar porphyry dykes",9800.0,1.4,7000.0,1.1,8909.090909,0.934,10492.50535,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25460
1348,25459,1.0,1998/3/26,GEOP:PHYS:,9900,"Magnetic and HLEM Survey on the Kap Block, Red Cap Property",1998,1998.0,,1999-03-26,,1998/3/26,29,Red Cap,104K11W:104K11E:,104K074:,58,44,1,133,16,7,8,6511685,600232,58.733610999999996,-133.26861100000002,AU:AG:CO:CU:PB:ZN:,,,SMI,4.0,ATLN:,Atlin,Atlin,Kap 4,,,Kap 4,"Geophysical,<br>Physical","Geophysical, Physical",,XPlorer Gold Corp.,XPlorer Gold Corp.,"Lee, Carmen C.","Gold, Silver, Cobalt, Copper, Lead, Zinc","Triassic, Stuhini Group, Quartz monzonites",9900.0,1.4,7071.4285709999995,1.1,9000.0,0.934,10599.57173,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25459
1356,25458,1.0,1998/3/26,GEOP:PHYS:,10000,"Magnetic Survey and HLEM Survey on the Lester Jones Block, Red Cap Property",1998,1998.0,,1999-03-26,,1998/3/26,29,Lester Jones,104K11E:,104K075:,58,43,1,133,9,7,8,6510010,607037,58.71694399999999,-133.151944,AU:AG:CO:CU:PB:ZN:,,,SMI,4.0,ATLN:,Atlin,Atlin,King 3,,,King 3,"Geophysical,<br>Physical","Geophysical, Physical",,XPlorer Gold Corp.,XPlorer Gold Corp.,"Lee, Carmen C.","Gold, Silver, Cobalt, Copper, Lead, Zinc","Triassic, Stuhini Group, Andesites, Quartz monzonites",10007.4,1.4,7148.142856999999,1.1,9097.636364,0.934,10714.561029999999,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25458
1581,25933,1.0,1999/3/11,PROS:GEOC:PHYS:,15300,Prospecting Report on the Northern Dancer,1999,1998.0,,2000-03-11,,1999/3/11,46,Northern Dancer,104O13E:,104O092:,59,59,49,131,37,6,9,6653961,353967,59.99694399999999,-131.618333,BE:WO:,,,PRG,3.0,ATLN:,Atlin,Atlin,Northern Dancer 1,"104O  016, 104O  028",,Northern Dancer 1,"Prospecting,<br>Geochemical,<br>Physical","Prospecting, Geochemical, Physical","06491, 12715, 23305",Nordac Resources Ltd.,"Archer, Cathro & Associates (1981) Limit","Wengzynowski, W.A. (Bill)","Beryllium, Tungsten","Cretaceous, Nisling Assemblage, Hornfels, Quartz veins, Monzonites, Beryl, Scheelite, Wolframite",17702.67,1.416,12501.88559,1.112,15919.667269999998,0.9440000000000001,18752.828390000002,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25933
2001,25745,1.0,1998/7/14,GEOP:PHYS:,36800,Ground Total Magnetic Field and VLF-EM Surveys at the Red Cap Property,1998,1998.0,,1999-07-14,,1998/7/14,28,Red Cap,104K11E:104K11W:,104K074,58,44,2,133,15,26,8,6511733,600891,58.733889000000005,-133.25722199999998,,,,SMI,3.0,ATLN:,Atlin,Atlin,"Kap 3-7,<br>Cat 5",,,"Kap 3-7, Cat 5","Geophysical,<br>Physical","Geophysical, Physical",,XPlorer Gold Corp.,XPlorer Gold Corp.,"Power, Michael A.",,"Triassic-Cretaceous, Sloko Group, Stuhini Group, Coast Plutonic Complex, Granodiorites, Andesites, Felsic dykes",95104.0,1.4,67931.42857,1.1,86458.18182,0.934,101824.4111,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25745
