,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
73,37204,1.0,2017/10/20,PROS:GEOC:,3642,Geochemical Survey on the Zeballos Gold Project,2018,2017.0,,2018-10-20,,2017/10/20,37,Zeballos Gold,092L02W:,092L007:,50,0,8,126,47,47,9,5541205,657912,50.002221999999996,-126.79638899999999,ZN:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,GOLDEN GATE,"092E  002, 092E  023, 092L  005, 092L  006, 092L  211",Zeballos - Kyuquot Area,GOLDEN GATE,"Prospecting,<br>Geochemical","Prospecting, Geochemical","04819, 05079, 12772, 12863, 32298, 34249, 35166, 36167",North Bay Resources Inc. (FMC 204090),North Bay Resources Inc. (FMC 204090),"Oancea, Dan V.",Zinc,"Jurassic, Eocene-Oligocene, Bonanza Group, Calc-alkaline volcanics, Island Plutonic Suite, Granodiorites, Mount Washington Plutonic Suite, Quartz diorites, Vancouver Group, Parson Bay Formation, Limestones, Polymetallic Veins, Pyrrhotite, Pyrite, Chalcopyrite, Sphalerite, Galena, Arsenopyrite, Native gold, Triassic",2550.5,1.926,1324.247144,1.514,1684.6103039999998,1.284,1986.3707170000002,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37204
168,36783,1.0,2017/3/26,GEOL:PROS:GEOC:,4472,2017 Assessment Report for Prospecting and Geochemistry,2017,2017.0,,2018-03-26,,2017/3/26,40,Zeballos,092L02E:,092L007:,50,2,2,126,44,49,9,5544831,661349,50.033889,-126.746944,DS:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,1043086,"092L  083, 092L  147",Zeballos - Kyuquot Area,1043086,"Geological,<br>Prospecting,<br>Geochemical","Geological, Prospecting, Geochemical","18928, 24184, 12864, 00868",Pacific West Stone Inc.,Pacific West Stone Inc.,"Houle, Jacques (FMC 137830)",Dimension Stone,"Jurassic, Triassic, Eocene, Island Plutonic Suite, Mount Washington Plutonic Suite, Vancouver Group, Parson Bay Formation, Quatsino Formation, Limestones, Marbles, Karmutsen Formation, Basaltic volcanic rocks, Slates, Siltstones, Argillites, Gabbros",4474.59,1.875,2386.448,1.474,3035.678426,1.25,3579.672,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36783
293,37525,1.0,2018/4/18,GEOC:,11188,Geochemical Report on the Thunderbird Claim,2018,2017.0,,2019-04-18,,2018/4/18,61,Thunderbird,092F05E:,092F033:,49,22,22,125,35,56,10,5472145,311343,49.372778000000004,-125.59888899999999,AU:AG:CU:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,1052275,"092F  067, 092F  449, 092F  450, 092F  587, 092F  588",Tofino - Kennedy River Area,1052275,Geochemical,Geochemical,"09378, 12623, 16450, 19374, 26412",Oakley Ventures Inc.,Oakley Ventures Inc.,"Kikauka, Andris (FMC # 114051)","Gold, Silver, Copper","Triassic-Jurassic, Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanics, Jurassic, Island Plutonic Suite, Granodiorites, Quartz diorites, Andesites, Pyrite, Galena, Chalcopyrite",7831.99,1.926,4066.45379,1.514,5173.044914,1.284,6099.680685,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37525
344,37259,1.0,2017/11/8,GEOL:,12855,Technical Report on the Yreka Mineral Claims,2017,2017.0,,2018-11-08,,2017/11/8,30,Yreka,092L05E:,092L043:,50,27,29,127,34,6,9,5590541,601623,50.458056,-127.56833300000001,CU:AG:AU:MO:,31.0,,NAN,3.0,ALBI:,Alberni,Alberni,"944052,<br>TUSCADORA,<br>Y KNOT,<br>ANVIL,<br>FEKK8","092L  052, 092L  104, 092L  105, 092L  231, 092L  236, 092L  336, 092L  451, 092L  452",Island Copper Area,"944052, TUSCADORA, Y KNOT, ANVIL, FEKK8",Geological,Geological,"03164, 03165, 04425, 07981, 25797, 26040, 29396, 30273, 36110",Karmamount Mineral Exploration Inc.,Karmamount Mineral Exploration Inc.,"Wasteneys, Hardolph","Copper, Silver, Gold, Molybdenum/Molybdenite","Triassic, Vancouver Group, Parson Bay Formation, Limestones, Slates, Siltstones, Argillites, Jurassic, Bonanza Group, Calc-alkaline volcanics, Island Plutonic Suite, Granodiorites, Karmutsen Formation, Basalts, Feldspar porphyry dykes, Diorite stocks, Skarns, Pyrrhotite, Chalcopyrite, Pyrite, Magnetite, Hematite, Sphalerite, Galena, Bornite, Molybdenite",9000.0,1.875,4800.0,1.474,6105.8344640000005,1.25,7200.0,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37259
454,37149,1.0,2017/9/22,PHYS:GEOC:,12834,2017 Assessment Report for the Prosper Property,2017,2017.0,,2018-09-22,,2017/9/22,87,Prosper,092F05E:,092F032:,49,23,37,125,44,41,10,5474836,300842,49.393611,-125.744722,AU:AG:CU:PB:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"PROSPER EXTENSION,<br>1052319","092F  053, 092F  054, 092F  056, 092F  250, 092F  354",Tofino - Kennedy River Area,"PROSPER EXTENSION, 1052319","Physical,<br>Geochemical","Physical, Geochemical","02997, 03629, 07439, 13571, 14067, 17620, 21444",New Sunro Copper Ltd.,New Sunro Copper Ltd.,"Houle, Jacques (FMC 137830)","Gold, Silver, Copper, Lead","Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanic rocks, Jurassic, Island Plutonic Suite, Granodiorites, Limestones, Skarns, Polymetallic Veins, Pyrite, Chalcopyrite, Galena, Sphalerite, Native gold, Malachite, Magnetite",12861.04,1.875,6859.2213329999995,1.474,8725.264586,1.25,10288.832,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37149
486,36810,1.0,2017/9/26,PROS:GEOC:,12070,Technical Report,2017,2017.0,,2018-09-26,,2017/9/26,69,Lime,092F02E:,092F017:,49,6,17,124,39,3,10,5440410,379510,49.104721999999995,-124.650833,AU:AG:CU:,24.0,,NAN,3.0,ALBI:,Alberni,Alberni,1052309,"092F  083, 092F  386, 092F  439, 092F  442, 092F  456",Sicker Belt,1052309,"Prospecting,<br>Geochemical","Prospecting, Geochemical","10237, 11949, 13711, 15953, 17661, 18689, 28428, 28430, 32685, 35035, 35842","Saulnier, Paul","Saulnier, Paul; Angild Investments Ltd.","Saulnier, Paul","Gold, Silver, Copper","Devonian, Mississippian-Permian, Eocene-Oligocene, Sicker Group, Mount Hall Gabbro, Mount Washington Plutonic Suite, Gabbros, Quartz diorites, Volcaniclastic rocks, Basaltic volcanics, Limestones, Buttle Lake Group, Fourth Lake Formation, Cherts, Argillites, Siliceous argillites, Siliciclastics, Cretaceous, Nanaimo Group, Vancouver Group, Karmutsen Formation, Chalcopyrite, Auriferous pyrite, Pyrite",14525.63,1.875,7747.002667,1.474,9854.565806999999,1.25,11620.503999999999,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36810
1199,37229,1.0,2017/10/30,GEOL:GEOC:,12142,Geological Investigation Report on the Crine Teepee Property,2018,2017.0,,2018-10-30,,2017/10/30,39,Crine/TeePee,104M10E:,104M077:,59,43,52,134,39,5,8,6621529,519599,59.731111,-134.651389,AU:AG:CU:,,,SMI,3.0,ATLN:,Atlin,Atlin,CRINE OUT LOUD,"104M  048, 104M  049, 104M  050, 104M  081, 104M  094, 104M  100",,CRINE OUT LOUD,"Geological,<br>Geochemical","Geological, Geochemical","10426, 18766, 19438, 20790, 24844, 28929, 29486, 33469",DeCoors Mining Corp.,Gray Rock Resources Ltd.,"Buckle, John","Gold, Silver, Copper","Devonian-Triassic, Boundary Ranges Metamorphic Suite, Greenschists, Greenstones, Paleocene, Paleocene-Eocene, Sloko-Hyder Plutonic Suite, Granites, Alkali-feldspar granites, Eocene, Sloko Group, Volcaniclastics, Jurassic, Ultramafic rocks, Polymetallic Veins, Arsenopyrite, Galena, Sphalerite, Tetrahedrite, Chalcopyrite, Scorodite, Pyrite, Pyrrhotite",8500.0,1.926,4413.291796,1.514,5614.266843,1.284,6619.9376950000005,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37229
1200,37317,1.0,2017/12/3,GEOC:,12122,Geological Investigation Report on the Titan Property,2018,2017.0,,2018-12-03,,2017/12/3,36,Titan,104M08W:,104M049:,59,29,44,134,19,38,8,6595427,538095,59.49555600000001,-134.327222,AU:AG:,,,SMI,3.0,ATLN:,Atlin,Atlin,TITAN,"104M  009, 104M  010, 104M  012, 104M  035, 104M  037, 104M  072, 104M  089",,TITAN,Geochemical,Geochemical,"08384, 10945, 15208, 27316, 27855, 28627, 30365, 33152, 34573, 36136",DeCoors Mining Corp.,DeCoors Mining Corp.,"Buckle, John","Gold, Silver","Aishihik Plutonic Suite, Granodiorites, Jurassic, Paleocene-Eocene, Sloko-Hyder Plutonic Suite, Alkali-feldspar granites, Permian, Boundary Ranges Metamorphic Suite, Orthogneisses, Devonian, Paragneisses, Greenschists, Greenstones, Molybdenite, Chalcopyrite, Pyrrhotite, Polymetallic Veins, Galena, Pyrite, Sphalerite, Arsenopyrite",8500.0,1.926,4413.291796,1.514,5614.266843,1.284,6619.9376950000005,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37317
1230,37153,1.0,2017/9/27,GEOL:GEOC:,12325,Geological and Technical Assessment Report Trial Drone Survey - High Resolution Photography and Topographic Mapping Soil Geochemical Survey,2018,2017.0,,2018-09-27,,2017/9/27,47,Chevron,104K09E:,104K059:,58,30,18,132,14,32,9,6489500,311100,58.505,-132.242222,AU:CU:,,,SMI,3.0,ATLN:,Atlin,Atlin,"552110,<br>552111,<br>566327",104K  075,,"552110, 552111, 566327","Geological,<br>Geochemical","Geological, Geochemical","11497, 17910, 21779, 27761, 29683, 34491, 32358, 36526","Von Einsiedel, Carl Alexander","Von Einsiedel, Carl Alexander","Von Einsiedel, Carl Alexander","Gold, Copper","Jurassic, Laberge Group, Takwahoni Formation, Argillites, Greywackes, Wackes, Conglomerate turbidites, Cretaceous, Windy Table Complex, Quartz diorites, Intrusive rocks, Porphyry, Drone",9326.13,1.926,4842.227414,1.514,6159.927345,1.284,7263.3411209999995,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37153
1280,36801,1.0,2017/9/13,PROS:GEOC:,18809,Rock Sample Report of the Otter Creek Block of the Surprise Lake Project,2017,2017.0,,2018-09-13,,2017/9/13,67,Surprise Lake,104N11W:,104N063:,59,38,1,133,28,6,8,6611605,586371,59.633611,-133.468333,AU:,53.0,,SMI,3.0,ATLN:,Atlin,Atlin,1030231,"104N  076, 104N  116, 104N  120, 104N  142",Atlin Camp,1030231,"Prospecting,<br>Geochemical","Prospecting, Geochemical","05118, 05224, 07553, 10623, 13646, 13647, 16007, 16312, 17348, 17544, 22774, 23304, 24926, 27277, 29032, 30042, 30750, 31925, 32003, 32039, 33240, 33342, 33917, 36310",Gray Rock Resources Ltd.,Gray Rock Resources Ltd.,"Buckle, John",Gold,"Jurassic, Three Sisters Plutonic Suite, Tonalites, Mississippian-Permian, Cache Creek Complex, Nakina Formation, Basaltic volcanic rocks, Limestones, Marbles, Calcareous sedimentary rocks, Ultramafic rocks, Cherts, Siliceous argillites, Siliclastic rocks, Galena, Chalcopyrite, Listwanites, Pyrite, Mariposite, Cretaceous, Surprise Lake Plutonic Suite, Surprise Lake Batholith, Granites, Alkali-feldspar granites, Phyllites, Argillites, Kedahda Formation",10410.0,1.875,5552.0,1.474,7062.415197,1.25,8328.0,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36801
