,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
2410,26516,1.0,2000/11/27,PHYS:GEOC:,2000,"Report #3, On-Going Explorations on the Deerhorn (Rand) Project, Cariboo Rand Property",2001,2000.0,,2001-11-27,,2000/11/27,23,Cariboo Rand,093A06W:,093A024,52,16,40,121,18,43,10,5793276,615163,52.277778000000005,-121.311944,CU:AU:,36.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,Rand 1,,Cariboo - Quesnel Belt,Rand 1,"Physical,<br>Geochemical","Physical, Geochemical",26095,Performance Minerals of Canada,"Wahl, Herbert Joseph (FMC# 128059); Brown-John, Jack; Riepe, Rudy C.","Riepe, Rudy C.","Copper, Gold","Miocene, Plateau basalts, Basalts",2195.0,1.466,1497.271487,1.1520000000000001,1905.3819440000002,0.977,2246.6734899999997,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26516
2503,26575,1.0,2001/5/10,GEOC:,2500,Examination of Placer Samples on the Gold Channel Placer Property,2001,2000.0,,2002-05-10,,2001/5/10,12,Gold Channel,093G09W:093G09E:,093G079,53,43,16,122,15,10,10,5952752,549306,53.721111,-122.252778,AU:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,Gold Channel,,,Gold Channel,Geochemical,Geochemical,,J.D. Graham & Assoc. Ltd.,"Graham, John Donald","Graham, John Donald",Gold,"Placer gold, Gravels",2859.0,1.466,1950.204638,1.1520000000000001,2481.770833,0.977,2926.305015,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26575
4243,26603,1.0,2000/12/28,GEOL:GEOP:GEOC:,4100,"Report for 2000 Assessment on the G, AU and Tunnel Property",2001,2000.0,,2001-12-28,,2000/12/28,75,G,093H03W:093H04E:,093H003,53,3,0,121,28,5,10,5878930,602687,53.05,-121.468056,,38.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,"AU 9-25,<br>Tunnel 5-6","093H  008, 093H  009, 093H  021, 093H  048, 093H  049, 093H  050, 093H  051, 093H  126",Cariboo - Barkerville Camp,"AU 9-25, Tunnel 5-6","Geological,<br>Geophysical,<br>Geochemical","Geological, Geophysical, Geochemical","12360, 16981, 23126, 24135, 24285, 24754, 25832, 26567",Golden Cariboo Resources Ltd.,"Bot, John","Scott, Thomas Cameron",,"Snowshoe Group, Barkerville Terrane, Quartzites, Pelites, Turbidites, Marbles, Tuffs, Auriferous quartz veins",33165.0,1.466,22622.78308,1.1520000000000001,28789.0625,0.977,33945.7523,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26603
4983,26435,1.0,2000/10/6,DRIL:GEOL:PHYS:GEOC:,143400,"Geological, Geochemical and Drilling Report on the Domin Property",2001,2000.0,,2001-10-06,,2000/10/6,198,Domin,093H06E:093H07W:,093H044:,53,27,0,121,16,17,10,5923722,614793,53.45,-121.27138899999999,AU:AG:PB:ZN:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,"AK I,<br>AK IV,<br>AK 12-14,<br>Dom 4",093H  133,,"AK I, AK IV, AK 12-14, Dom 4","Drilling,<br>Geological,<br>Physical,<br>Geochemical","Drilling, Geological, Physical, Geochemical","16549, 16868, 17599, 17612, 21020, 25888",Gold City Industries Ltd.,"MacArthur, Ronald G","Cowley, Paul S.","Gold, Silver, Lead, Zinc","Hadrynian, Cunningham Formation, Isaac Formation, Phyllites, Argillites, Limestones, Siltstones, Pyrite",183650.07,1.466,125272.899,1.1520000000000001,159418.4635,0.977,187973.4596,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26435
6572,26277,1.0,2000/3/30,GEOP:,2800,Airborne Geophysical Report on the Commerce Property,2000,2000.0,,2001-03-30,,2000/3/30,16,Commerce,082G01W:,082G018,49,11,0,114,25,4,11,5451046,688167,49.183333000000005,-114.417778,AU:AG:CU:,,,CRA,3.0,FORT:,Fort Steele,Fort Steele,Commerce 1-4,,,Commerce 1-4,Geophysical,Geophysical,,Commerce Resources Corp.,"Heyman, David A.","Dahrouge, Jody; Faragher, Todd","Gold, Silver, Copper","Helikian, Quartzites",2190.06,1.4409999999999998,1519.8195699999999,1.133,1932.9744039999998,0.961,2278.9386059999997,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26277
6708,26500,1.0,2001/2/21,GEOL:,3600,Structural Mapping Report on the Bri-Lin Property,2001,2000.0,,2002-02-21,,2001/2/21,24,Bri-Lin,082G12E:,082G063,49,39,30,115,36,4,11,5501583,600961,49.658333,-115.60111100000002,AG:PB:ZN:,1.0,,CRA,3.0,FORT:,Fort Steele,Fort Steele,Bri Lin 19-23,,Purcell Belt (Sullivan),Bri Lin 19-23,Geological,Geological,"22185, 23344, 23915, 24419",Lone Peak Placer Ltd.,"Kostiuk, Brian","Ransom, P.W.","Silver, Lead, Zinc","Helikian, Aldridge Formation, Quartzites, Schists, Stereonet diagrams",3850.0,1.466,2626.1937239999997,1.1520000000000001,3342.013889,0.977,3940.634596,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26500
6955,26316,1.0,2000/6/8,GEOL:,4000,Geological Remote Sensing Assessment Report on the Mag Property,2000,2000.0,,2001-06-08,,2000/6/8,18,Mag,082G12W:,082G061,49,38,0,115,48,28,11,5498547,586090,49.633333,-115.807778,CU:PB:ZN:AU:AG:,1.0,,CRA,3.0,FORT:,Fort Steele,Fort Steele,Mag 1-2,082GNW084,Purcell Belt (Sullivan),Mag 1-2,Geological,Geological,"13748, 18180, 22732, 23228, 24298",Pathfinder Resources Ltd.,"Kahlert, Bernie H.","Campbell, Kenneth Vincent","Copper, Lead, Zinc, Gold, Silver","Cambrian, Eager Formation, Quartz monzonites",8700.0,1.4409999999999998,6037.473976,1.133,7678.7290379999995,0.961,9053.069719,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26316
7194,26279,1.0,2000/3/30,GEOP:,21600,Exploration Report on the Aubyrd Property,2000,2000.0,,2001-03-30,,2000/3/30,17,Aubyrd,082G01W:082G02E:,082G018,49,8,0,114,33,4,11,5445166,678632,49.133333,-114.551111,AU:AG:CU:,,,CRA,3.0,FORT:,Fort Steele,Fort Steele,Aubyrd 1-3,,,Aubyrd 1-3,Geophysical,Geophysical,18091,Commerce Resources Corp.,"Kleespies, Peter","Dahrouge, Jody; Faragher, Todd","Gold, Silver, Copper","Devonian-Mississippian, Palliser Group, Exshaw Formation, Banff Formation, Limestones, Shales, Dolomites",17524.27,1.4409999999999998,12161.186679999999,1.133,15467.14034,0.961,18235.45265,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26279
7419,26278,1.0,2000/3/30,GEOP:,40000,Exploration Report on the Comm Property,2000,2000.0,,2001-03-30,,2000/3/30,16,Comm,082G01W:,082G019,49,11,0,114,21,4,11,5451214,693024,49.183333000000005,-114.35111100000002,AU:AG:CU:,,,CRA,3.0,FORT:,Fort Steele,Fort Steele,Comm 1-4,"082GSE041, 082GSE042, 082GSE043, 082GSE007",,Comm 1-4,Geophysical,Geophysical,,Commerce Resources Corp.,"Kleespies, Peter","Dahrouge, Jody; Faragher, Todd","Gold, Silver, Copper","Helikian, Grinnell Formation, Quartzites, Andesites",33387.25,1.4409999999999998,23169.50035,1.133,29468.0053,0.961,34742.19563,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26278
8680,26470,1.0,2000/9/13,GEOC:,1800,Geochemical Assessment Report on the Glover Property,2001,2000.0,,2001-09-13,,2000/9/13,20,Glover,082E01W:,8.20E+29,49,12,0,118,28,4,11,5450726,393075,49.2,-118.46777800000001,AU:,,,CRA,4.0,GRWD:,Greenwood,Greenwood,Glover 13,082ESE179,,Glover 13,Geochemical,Geochemical,"06130, 13565, 22349, 23993, 25125, 25563, 25720, 25901, 26172",Carnival Resources Ltd.,"Sookochoff, Laurence","Sookochoff, Laurence",Gold,"Triassic-Jurassic, Nelson Intrusions, Coreyell Batholith, Syenites",2000.0,1.466,1364.25648,1.1520000000000001,1736.111111,0.977,2047.082907,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26470
