,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
203,34006,1.0,2012/12/26,GEOL:,6744,Airphoto Interpretation Report on the Head Bay Property,2013,2012.0,,2013-12-26,,2012/12/26,68,Head Bay,092E15E:,092E088:,49,48,10,126,31,15,9,5519652,678391,49.802778,-126.52083300000001,AU:FE:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"ROB ROY 1-3,<br>LOT 411 STORMONT,<br>LOT 410 GLENGARRY,<br>LOT TEXAS,<br>544930,<br>ROB ROY,<br>HB 1-2,<br>ROB ROY 2-3,<br>ROB ROY 5-8,<br>ROB ROY 15,<br>HEAD BAY WEST, SOUTHWEST, 1,2,<br>HEAD BAY 10-11,<br>HB 1-2,<br>WOA 1-2,<br>GLENNGARRY FRAC,<br>HB WEST","092E  001, 092E  005, 092E  006, 092E  015, 092E  028, 092E  063",Zeballos - Kyuquot Area,"ROB ROY 1-3, LOT 411 STORMONT, LOT 410 GLENGARRY, LOT TEXAS, 544930, ROB ROY, HB 1-2, ROB ROY 2-3, ROB ROY 5-8, ROB ROY 15, HEAD BAY WEST, SOUTHWEST, 1,2, HEAD BAY 10-11, HB 1-2, WOA 1-2, GLENNGARRY FRAC, HB WEST",Geological,Geological,"12058, 13026, 13681, 13806, 16355, 17139, 17521, 18833, 22335, 29150, 32221",Canadian Dehua International Mines Group,Canadian Dehua International Mines Group,"Shearer, Johan Tom FMC 124452","Gold, Iron","Jurassic, Bonanza Group, Calc-alkaline volcanics, Triassic, Vancouver Group, Island Plutonic Suite, Granodiorites, Karmutsen Formation, Basaltic volcanics, Quatsino Formation, Limestones, Parson Bay Formation, Skarns, Magnetite, Garnet skarn, Catface Intrusions, Mafic dikes, Felsic dykes",4988.0,1.767,2822.8636109999998,1.3880000000000001,3593.6599420000002,1.177,4237.892948,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=34006
554,32853,1.0,2012/1/4,GEOL:GEOC:,17059,Geological and Geochemical Report on the Tahsis Property,2012,2012.0,,2013-01-04,,2012/1/4,82,Tahsis,092E01W:,092E078:,49,44,43,126,30,40,9,5513283,679303,49.745278000000006,-126.51111100000001,,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"534520,<br>534845,<br>549088,<br>566323,<br>574699,<br>843605,<br>843609",092E  020,Zeballos - Kyuquot Area,"534520, 534845, 549088, 566323, 574699, 843605, 843609","Geological,<br>Geochemical","Geological, Geochemical",31969,RCR MINING LLP,Rock-Con Resources Inc.,"Houle, Jacques (FMC 137830)",,"Triassic, Eocene, Quatsino Formation, Mount Washington Plutonic Suite, Quartz diorites, Limestones",17063.87,1.7690000000000001,9646.054268,1.389,12285.0036,1.178,14485.4584,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32853
597,33834,1.0,2013/2/4,GEOC:,30380,Geochemical Assessment Report on the Flores Island Property,2013,2012.0,,2014-02-04,,2013/2/4,61,Flores Island,092E08E:,092E040:,49,19,54,126,8,4,9,5468277,708186,49.331666999999996,-126.13444399999999,,,,NAN,3.0,ALBI:,Alberni,Alberni,FI 1-6,092E  045,,FI 1-6,Geochemical,Geochemical,"02317, 03689, 04356, 04956, 08056, 09658",Catface Copper Mines Ltd.,Catface Copper Mines Ltd.,"Perry, Dustin",,"Paleozoic, Paleocene-Eocene, West Coast Complex, Clayoquot Plutonic Suite, Flores Volcanics, Andesites, Rhyolites, Tuffs, Granodiorites, Tonalites",22139.44,1.767,12529.39445,1.3880000000000001,15950.60519,1.177,18810.05947,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33834
603,33720,1.0,2012/12/12,GEOC:,28197,Geochemical Survey Report on the Catface NE Property,2013,2012.0,,2013-12-12,,2012/12/12,59,Catface NE,092F05W:,092F031:,49,20,47,125,51,34,10,5469896,292320,49.346389,-125.859444,CU:MO:AU:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"CC 3,<br>CC 6",,Tofino - Kennedy River Area,"CC 3, CC 6",Geochemical,Geochemical,"19182, 19330, 19766, 20561, 31891, 32940",Catface Copper Mines Ltd.,Catface Copper Mines Ltd.,"Perry, Dustin","Copper, Molybdenum/Molybdenite, Gold","Paleozoic, Sicker Group, Felsic volcanics, Mafic volcanics, Karmutsen Formation, Limestones, Vancouver Group, Vancouver Group, Jurassic, Jurassic, Island Plutonic Suite, Island Plutonic Suite, Granodiorites, Granodiorites, Buttle Lake Group",23065.53,1.767,13053.49745,1.3880000000000001,16617.817,1.177,19596.8819,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33720
610,34292,1.0,2013/6/4,GEOL:GEOP:,27981,Geological and Magnetometer Assessment Report,2013,2012.0,,2014-06-04,,2013/6/4,59,Head Bay,092E15E:,092E078:,49,47,57,126,32,52,9,5519187,676466,49.799167,-126.54777800000001,AU:FE:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"Rob Roy 3,<br>404162,<br>404168,<br>Rob Roy 2,<br>Rob Roy,<br>404163","092E  001, 092E  005, 092E  006, 092E  015, 092E  028, 092E  063",Zeballos - Kyuquot Area,"Rob Roy 3, 404162, 404168, Rob Roy 2, Rob Roy, 404163","Geological,<br>Geophysical","Geological, Geophysical","12058, 13026, 13681, 13806, 16355, 17139, 17521, 18833, 22335, 29150, 32221, 33789","Shearer, Johan Tom FMC 124452; Canadian Dehua International Mines Group","Shearer, Johan Tom FMC 124452; Canadian Dehua International Mines Group","Shearer, Johan Tom FMC 124452","Gold, Iron","Jurassic, Triassic, Island Plutonic Suite, Vancouver Group, Bonanza Group, Eocene-Oligocene, Mount Washington Plutonic Suite, Granodiorites, Limestones, Marbles, Calc-alkaline volcanics, Marine sediments, Magnetite, Skarns, Pyrite, Chalcopyrite",23700.0,1.767,13412.56367,1.3880000000000001,17074.92795,1.177,20135.938830000003,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=34292
732,33217,1.0,2012/7/23,GEOL:PROS:GEOC:,70441,Prospecting and Geochemical Report on the Macktush Property,2012,2012.0,,2013-07-23,,2012/7/23,52,Macktush,092F02W:,092F016:,49,11,14,124,53,38,10,5449995,362000,49.187222,-124.89388899999999,CU:AG:AU:MO:RE:,,,NAN,3.0,ALBI:,Alberni,Alberni,"400348,<br>Sky 5-12,<br>530257,<br>530258,<br>530259,<br>530260,<br>512247,<br>518169,<br>604993,<br>604996,<br>604995","092F  012, 092F  195, 092F  221, 092F  567",,"400348, Sky 5-12, 530257, 530258, 530259, 530260, 512247, 518169, 604993, 604996, 604995","Geological,<br>Prospecting,<br>Geochemical","Geological, Prospecting, Geochemical","12044, 21512, 26823, 28497, 28989, 32484, 33140",Nahminto Resources Ltd.,Nahminto Resources Ltd.,"Houle, Jacques (FMC 137830)","Copper, Silver, Gold, Molybdenum/Molybdenite, Rhenium","Triassic-Jurassic, Karmutsen Formation, Quatsino Formation, Bonanza Group, Island Plutonic Suite, Basalts, Granodiorites",49381.18,1.7690000000000001,27914.742789999997,1.389,35551.60547,1.178,41919.507639999996,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33217
762,33113,1.0,2012/3/13,GEOP:,59522,Snow Property Airborne Geophysical Survey Report,2012,2012.0,,2013-03-13,,2012/3/13,41,Snow,092F06W:,092F003:,49,15,59,125,24,5,10,5459845,325303,49.266389000000004,-125.401389,AU:AG:ZN:CU:,,,NAN,3.0,ALBI:,Alberni,Alberni,"Snow 2-7,<br>S 1,<br>S 3,<br>Lake,<br>513664",,,"Snow 2-7, S 1, S 3, Lake, 513664",Geophysical,Geophysical,"17269, 17574, 17575, 22443, 25663",Snowfield Development Corp.,"Paterson, Douglas William; Area Explorations Ltd.","Precision GeoSurveys Inc.; POON, JENNY","Gold, Silver, Zinc, Copper","Jurassic, Island Plutonic Suite, Granodiorites, Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanics",60013.99,1.7690000000000001,33925.37592,1.389,43206.61627,1.178,50945.66214,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33113
772,32682,1.0,2011/11/1,GEOL:GEOC:,82160,2011 Exploration Program on the Lucky Property,2011,2012.0,,2012-11-01,,2011/11/1,235,Lucky,092F03W:,092F004:,49,4,59,125,18,5,10,5439240,331957,49.083056,-125.30138899999999,AU:CU:ZN:PB:AG:,,,NAN,3.0,ALBI:,Alberni,Alberni,"837498,<br>605186,<br>518013,<br>548415,<br>842705,<br>843228,<br>844898,<br>845109,<br>845192,<br>846557,<br>601345,<br>849591,<br>518014","092F  433, 092F  434, 092F  034, 092F  542, 092F  535, 092F  536, 092F  539, 092F  540",,"837498, 605186, 518013, 548415, 842705, 843228, 844898, 845109, 845192, 846557, 601345, 849591, 518014","Geological,<br>Geochemical","Geological, Geochemical","31247, 16252, 12766, 11419, 10574, 03376",Electrum Resource Corp. (FMC 107591),Electrum Resource Corp. (FMC 107591),"Schau, Mikkel","Gold, Copper, Zinc, Lead, Silver","Jurassic, Island Intrusions, Karmutsen Formation, Basalts, Limestones, Mafic dykes, Felsic dykes, Polymetallic Veins, Alteration, Sericite, Triassic, Vancouver Group",62327.0,1.75,35615.42857,1.374,45361.71761,1.165,53499.57082,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32682
791,33140,1.0,2012/3/22,GEOP:,75608,Remote Sensing Report on the Macktush Property,2012,2012.0,,2013-03-22,,2012/3/22,39,Macktush,092F02W:,092F016:,49,7,58,124,51,6,10,5443867,364928,49.132778,-124.85166699999999,,,,NAN,3.0,ALBI:,Alberni,Alberni,"Copper 103,<br>Sky 3,<br>Copper 102,<br>Copper 108,<br>Cooper 110,<br>Sky 4,<br>Copper 107,<br>Copper 109,<br>Copper 106,<br>Copper 50,<br>Copper 104,<br>Sky 7,<br>Sky 10,<br>Bay 1,<br>Sky 5,<br>Sky 8,<br>Sky 11,<br>Sky 9,<br>Sky 12,<br>508051,<br>512247,<br>512249,<br>518164,<br>518167,<br>519169,<br>518171,<br>517174,<br>530257,<br>530258,<br>530259,<br>530260,<br>604993,<br>604995,<br>604996,<br>833065,<br>936509,<br>936529,<br>936530,<br>936531,<br>936532","092F  012, 092F  195, 092F  221, 092F  567",,"Copper 103, Sky 3, Copper 102, Copper 108, Cooper 110, Sky 4, Copper 107, Copper 109, Copper 106, Copper 50, Copper 104, Sky 7, Sky 10, Bay 1, Sky 5, Sky 8, Sky 11, Sky 9, Sky 12, 508051, 512247, 512249, 518164, 518167, 519169, 518171, 517174, 530257, 530258, 530259, 530260, 604993, 604995, 604996, 833065, 936509, 936529, 936530, 936531, 936532",Geophysical,Geophysical,"12044, 21512, 26823, 28497, 28989, 32484",Nahminto Resources Ltd.,Nahminto Resources Ltd.,"McLelland, David",,"Triassic-Jurassic, Karmutsen Formation, Quatsino Formation, Bonanza Group, Island Intrusions",75910.0,1.7690000000000001,42911.24929,1.389,54650.82792999999,1.178,64439.72835,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33140
822,33092,1.0,2012/5/28,GEOP:,124173,Geophysical Report on the Nahmint Property,2012,2012.0,,2013-05-28,,2012/5/28,120,Nahmint,092F02W:,092F006:,49,2,1,124,56,19,10,5433003,358304,49.033611,-124.93861100000001,CU:ZN:AU:AG:FE:MO:TE:,,,NAN,3.0,ALBI:,Alberni,Alberni,"TJM1-20,<br>HANDY CREEK","092C  007, 092C  008, 092C  009, 092C  061, 092C  067, 092C  095, 092F  086, 092F  129, 092F  140, 092F  156, 092F  411",,"TJM1-20, HANDY CREEK",Geophysical,Geophysical,"08286, 15199, 17714, 19484, 19485, 29252, 29574, 29660, 30799, 31248, 31708, 32603",Snowfield Development Corp.,Nahminto Resources Ltd.,"Pezzot, E. Trent","Copper, Zinc, Gold, Silver, Iron, Molybdenum/Molybdenite, Tellurium","Triassic, Jurassic, Limestones, Marbles, Volcanics, Vancouver Group, Karmutsen Formation",95643.28,1.7690000000000001,54066.29734,1.389,68857.65299,1.178,81191.23939,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33092
