,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
35,34896,1.0,2014/8/15,GEOC:,1799,Physical Report for Statement of Work Red and Blue Claims,2014,2014.0,,2015-08-15,,2014/8/15,20,Red and Blue,092F02E:,092F007:,49,2,55,124,40,0,10,5434198,378217,49.048611,-124.66666699999999,AU:AG:,,,NAN,4.0,ALBI:,Alberni,Alberni,"RED,<br>BLUE,<br>RED",092F  216,,"RED, BLUE, RED",Geochemical,Geochemical,"13672, 14470, 15957, 34071","Saulnier, Paul","Saulnier, Paul","Saulnier, Paul","Gold, Silver","Jurassic, Triassic, Bonanza Group, Vancouver Group, Karmutsen Formation, Basaltic volcanics, Calc-alkaline volcanics, Island Plutonic Suite, Granodiorites, Pyrite, Chalcopyrite, Galena",1812.26,1.785,1015.271709,1.402,1292.624822,1.189,1524.188394,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=34896
46,35133,1.0,2014/8/5,PROS:GEOC:,2033,Technical Assessment Report,2014,2014.0,,2015-08-05,,2014/8/5,39,Deer Group,092F04E:,092F023:,49,14,44,125,35,32,10,5457987,311342,49.245556,-125.59222199999999,AU:CU:AG:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"1016507,<br>1021411","092F  009, 092F  010, 092F  015, 092F  016, 092F  018, 092F  022, 092F  025, 092F  420",Tofino - Kennedy River Area,"1016507, 1021411","Prospecting,<br>Geochemical","Prospecting, Geochemical","08106, 08138, 14807, 17284","Zimmer, Christoper James","Scott, Steven (FMC 219636); Zimmer, Christoper James","Zimmer, Christoper James","Gold, Copper, Silver","Jurassic, Island Plutonic Suite, Granodiorites, Devonian, Sicker Group, Volcanic rocks, Mississippian-Permian, Buttle Lake Group, Sedimentary rocks, Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanics, Skarns, Chalcopyrite, Magnetite, Pyrite, Pyrrhotite, Bornite, Molybdenite, Powellite",2053.64,1.785,1150.498599,1.402,1464.7931529999998,1.189,1727.199327,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35133
125,35035,1.0,2014/10/20,GEOC:,3659,Physical Report for Statement of Work Lime Claims,2014,2014.0,,2015-10-20,,2014/10/20,24,Lime Claims,092F02E:,092F017:,49,6,16,124,37,37,10,5440327,381254,49.104444,-124.626944,AU:AG:,,,NAN,4.0,ALBI:,Alberni,Alberni,"LIM10,<br>1015732,<br>LIME,<br>1016354,<br>1016355,<br>1017462,<br>1017682,<br>1018004,<br>LIM","092F  083, 092F  439, 092F  442",,"LIM10, 1015732, LIME, 1016354, 1016355, 1017462, 1017682, 1018004, LIM",Geochemical,Geochemical,"17661, 28430","Saulnier, Paul","Saulnier, Paul; Anglid Investments Ltd.","Saulnier, Paul","Gold, Silver","Devonian, Mississippian-Permian, Eocene-Oligocene, Sicker Group, Mount Hall Gabbro, Mount Washington Plutonic Suite, Gabbros, Quartz diorites, Volcaniclastic rocks, Basaltic volcanics, Limestones, Buttle Lake Group",3670.61,1.785,2056.364146,1.402,2618.124108,1.189,3087.140454,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35035
147,34992,1.0,2014/5/20,PROS:,3983,Physical Prospecting Report on the Zeballos Vancouver Island Mineral Property,2014,2014.0,,2015-05-20,,2014/5/20,55,Zeballos Vancouver Island,092L02W:,092L007:,50,2,28,126,47,11,9,5545549,658501,50.041111,-126.78638899999999,AU:,29.0,,NAN,4.0,ALBI:,Alberni,Alberni,"ZEBALLOS DOLOMITE,<br>1020254,<br>ROCK4","092L  022, 092L  023, 092L  024, 092L  026, 092L  028, 092L  029, 092L  128, 092L  129, 092L  130, 092L  210, 092L  212, 092L  213",Zeballos - Kyuquot Area,"ZEBALLOS DOLOMITE, 1020254, ROCK4",Prospecting,Prospecting,"00418, 03056, 03057, 07012, 07761, 12077, 12864, 18770, 26454","Zimmer, Christoper James; Anthony, Roman","BAKUS, JOHN NICK; Anthony, Roman","BAKUS, JOHN NICK",Gold,"Jurassic, Bonanza Group, Calc-alkaline volcanics, Eocene, Quartz diorite stocks, Catface Intrusions, Veins, Pyrite, Arsenopyrite, Sphalerite, Galena, Island Plutonic Suite, Vancouver Group, Quatsino Formation, Limestones, Marbles, Basaltic volcanics",3984.0,1.785,2231.932773,1.402,2841.654779,1.189,3350.7148859999998,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=34992
173,35166,1.0,2014/10/2,GEOC:,6192,Assessment Report Geochemical Survey,2014,2014.0,,2015-10-02,,2014/10/2,0,Zeballos Gold,092L02W:,092L006:,50,0,4,126,49,29,9,5541022,655886,50.001111,-126.824722,AU:CU:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"GOLDEN GATE 4,<br>GOLDEN GATE 5,<br>GOLDEN GATE 6,<br>GOLDEN GATE","092E  002, 092E  023, 092L  005, 092L  006, 092L  211",Zeballos - Kyuquot Area,"GOLDEN GATE 4, GOLDEN GATE 5, GOLDEN GATE 6, GOLDEN GATE",Geochemical,Geochemical,"04819, 05079, 12772, 12863, 32298, 34249",North Bay Resources Inc. (FMC 204090),North Bay Resources Inc. (FMC 204090),"Oancea, Dan V.","Gold, Copper","Jurassic, Eocene-Oligocene, Bonanza Group, Calc-alkaline volcanics, Island Plutonic Suite, Granodiorites, Mount Washington Plutonic Suite, Quartz diorites, Pyrrhotite, Pyrite, Chalcopyrite, Sphalerite, Galena, Arsenopyrite, Polymetallic Veins, Native gold, Triassic, Vancouver Group, Parson Bay Formation, Limestones",4434.41,1.785,2484.263305,1.402,3162.917261,1.189,3729.5290159999995,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35166
212,35545,1.0,2015/4/24,GEOC:,5216,Geochemical Sampling Report,2015,2014.0,,2016-04-24,,2015/4/24,62,Century Limestone,092E16W:,092E078:,49,45,59,126,30,5,9,5515653,679925,49.766389000000004,-126.50138899999999,LS:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,INLET 2,092E  081,Zeballos - Kyuquot Area,INLET 2,Geochemical,Geochemical,"28386, 28915",Opus Ventures Ltd.,Opus Ventures Ltd.,"Smit, Hans Q.",Limestone,"Triassic, Vancouver Group, Parson Bay Formation, Limestones, Slates, Siltstones, Argillites, Karmutsen Formation, Basaltic volcanic rocks, Quatsino Formation, Marbles, Calcareous sedimentary rocks, Jurassic, Bonanza Group, Calc-alkaline volcanics, Island Plutonic Suite, Granodiorites, Intrusive rocks, Limestone, Mafic dykes, Magnesium oxide, Calcium oxide, Quartz diorites",5352.24,1.804,2966.873614,1.4169999999999998,3777.1630200000004,1.202,4452.7787020000005,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35545
298,35300,1.0,2014/11/22,GEOL:,10714,Geological Assessment Report on a Structural Analysis,2015,2014.0,,2015-11-22,,2014/11/22,28,Patmore,092L03E:,092L005:,50,0,5,127,5,15,9,5540538,637055,50.001389,-127.0875,AU:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"594046,<br>1024255,<br>ADAM,<br>1024653,<br>JILLIAN,<br>JOHNNY B GOOD,<br>JOHNNY B","092L  033, 092L  101, 092L  437, 092L  438",Zeballos - Kyuquot Area,"594046, 1024255, ADAM, 1024653, JILLIAN, JOHNNY B GOOD, JOHNNY B",Geological,Geological,"07062, 14369, 14744, 15079, 15153, 15903","Murphy, David W.; BAKUS, JOHN NICK","Murphy, David W.; BAKUS, JOHN NICK","Sookochoff, Laurence",Gold,"Jurassic, Island Plutonic Suite, Granodiorites, Bonanza Group, Calc-alkaline volcanics, Pyrite, Limonite, Telluride, Sphalerite, Chalcopyrite, Malachite, Linear analysis",7500.0,1.804,4157.427938000001,1.4169999999999998,5292.872265,1.202,6239.600665999999,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35300
299,35364,1.0,2015/4/2,GEOP:,10205,Geological Assessment Report on a Structural Analysis,2015,2014.0,,2016-04-02,,2015/4/2,27,Gold 1035068,092F06W:,092F033:,49,18,46,125,24,42,10,5465037,324717,49.312778,-125.411667,AU:AG:,,,NAN,3.0,ALBI:,Alberni,Alberni,"Snow 38 G/T AU DX X 2 FT,<br>LAKE,<br>SIDE 1,<br>Snow Van Isle West,<br>Snow 5 Pass North","092F  336, 092F  586",,"Snow 38 G/T AU DX X 2 FT, LAKE, SIDE 1, Snow Van Isle West, Snow 5 Pass North",Geophysical,Geophysical,"16208, 17269, 17574, 17575, 17708, 22443, 25663","BAKUS, JOHN NICK","Paterson, Douglas William; Paterson, Thomas Robert","Sookochoff, Laurence","Gold, Silver","Jurassic, Jurassic, Island Plutonic Suite, Island Plutonic Suite, Granodiorites, Granodiorites, Triassic, Triassic, Vancouver Group, Vancouver Group, Karmutsen Formation, Karmutsen Formation, Basaltic volcanics, Basaltic volcanics, Veins, Veins, Pyrite, Pyrite, Galena, Galena, Chalcopyrite, Chalcopyrite, Sphalerite, Sphalerite, Linear analysis",7500.0,1.804,4157.427938000001,1.4169999999999998,5292.872265,1.202,6239.600665999999,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35364
325,35017,1.0,2014/6/1,PROS:GEOC:,8135,Geochemical and Prospecting Report on the Kennedy River Gold Project,2014,2014.0,,2015-06-01,,2014/6/1,67,Kennedy River Gold Project,092F03W:,092F013:,49,9,19,125,24,21,10,5447504,324586,49.155278,-125.405833,AU:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"ESTHER,<br>IB,<br>950554,<br>1025204,<br>1025205","092F  033, 092F  045, 092F  046, 092F  051, 092F  099, 092F  480, 092F  028, 092F  121, 092F  049, 092F  050, 092F  047, 092F  052",Tofino - Kennedy River Area,"ESTHER, IB, 950554, 1025204, 1025205","Prospecting,<br>Geochemical","Prospecting, Geochemical","32332, 25493, 18693, 11940, 16729, 09606, 31904, 14279, 05122, 16474","Zimmer, Christoper James; McKinney, William (Bill)","Patterson, D.M.; BAKUS, JOHN NICK","BAKUS, JOHN NICK",Gold,"Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanics, Jurassic, Island Plutonic Suite, Granodiorites, Sedimentary rocks, Quartz veins, Quartz-sulphide veins, Pyrite, Pyrrhotite, Chalcopyrite, Sphalerite, Arsenopyrite, Galena",8135.82,1.785,4557.882353,1.402,5803.009986,1.189,6842.573590999999,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35017
380,35066,1.0,2014/7/25,GEOL:,4692,Assessment Report Spectral Data Fusion and Spectral Analyses,2014,2014.0,,2015-07-25,,2014/7/25,22,WWW,092F02E:,092F007:,49,0,54,124,41,20,10,5430483,376516,49.015,-124.68888899999999,CU:AU:AG:,24.0,,NAN,3.0,ALBI:,Alberni,Alberni,"516513,<br>516514","092F  380, 092F  141, 092F  217",Sicker Belt,"516513, 516514",Geological,Geological,"06865, 12735, 14987, 16119, 27832, 27833, 28489, 29111, 29323, 29607, 31317, 31322, 31816, 32305, 32342, 32557, 33841, 34019, 34471",Auracle Geospatial Science Inc.,"McLelland, Julie","McLelland, David","Copper, Gold, Silver","Jurassic, Island Plutonic Suite, Granodiorites, Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanics, Remote sensing",9530.0,1.785,5338.935574,1.402,6797.432240000001,1.189,8015.138772,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35066
