,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
53,34071,1.0,2013/8/16,GEOC:,1799,Geochemical Report for Red Property,2013,2012.0,,2014-08-16,,2013/8/16,16,Red,092F02E:,092F007:,49,2,58,124,39,54,10,5434288,378341,49.049444,-124.665,AU:AG:,24.0,,NAN,4.0,ALBI:,Alberni,Alberni,"Red,<br>Red 2,<br>Blue",092F  216,Sicker Belt,"Red, Red 2, Blue",Geochemical,Geochemical,"13672, 14470, 15957","Saulnier, Paul","Saulnier, Paul","Saulnier, Paul","Gold, Silver","Jurassic, Island Plutonic Suite, Granodiorites, Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanics, Bonanza Group, Calc-alkaline volcanics",2099.67,1.767,1188.268251,1.3880000000000001,1512.730548,1.177,1783.916737,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=34071
181,34102,1.0,2013/2/1,GEOL:,4405,Airphoto Interpretation Assessment Report,2013,2012.0,,2014-02-01,,2013/2/1,61,Nootka Island,092E10W:,092E076:,49,43,19,126,52,35,9,5509880,653063,49.721944,-126.87638899999999,AU:CU:,,,NAN,3.0,ALBI:,Alberni,Alberni,"946167,<br>946170,<br>946172,<br>946173,<br>NOOTKA 1-2,<br>NOOTKA 4-5",092E  066,,"946167, 946170, 946172, 946173, NOOTKA 1-2, NOOTKA 4-5",Geological,Geological,26460,"Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Gold, Copper","Paleozoic-Jurassic, West Coast Complex, Metamorphic rocks, Arsenopyrite, Massive sulphides, Bonanza Group, Tuffs, Tertiary, Catface Intrusions, Quartz diorites",4481.0,1.767,2535.936616,1.3880000000000001,3228.386167,1.177,3807.1367880000003,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=34102
200,33183,1.0,2012/5/27,GEOL:GEOC:,6991,Geological and Geochemical Report on the Wood Cove Property,2012,2012.0,,2013-05-27,,2012/5/27,29,Wood Cove,092L03W:,092L014:,50,9,21,127,19,8,9,5557310,620087,50.155833,-127.31888899999998,LS:MB:,,,NAN,3.0,ALBI:,Alberni,Alberni,"501873,<br>501945",092L  187,,"501873, 501945","Geological,<br>Geochemical","Geological, Geochemical","24034, 26389, 28761","Pfaffenberger, William Elmer","Pfaffenberger, William Elmer","Kikauka, Andris (FMC # 114051)","Limestone, Marble","Jurassic, Bonanza Group, Andesites, Breccias, Quartz diorites, Marbles",4949.5,1.7690000000000001,2797.908423,1.389,3563.354932,1.178,4201.612903,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33183
203,34006,1.0,2012/12/26,GEOL:,6744,Airphoto Interpretation Report on the Head Bay Property,2013,2012.0,,2013-12-26,,2012/12/26,68,Head Bay,092E15E:,092E088:,49,48,10,126,31,15,9,5519652,678391,49.802778,-126.52083300000001,AU:FE:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"ROB ROY 1-3,<br>LOT 411 STORMONT,<br>LOT 410 GLENGARRY,<br>LOT TEXAS,<br>544930,<br>ROB ROY,<br>HB 1-2,<br>ROB ROY 2-3,<br>ROB ROY 5-8,<br>ROB ROY 15,<br>HEAD BAY WEST, SOUTHWEST, 1,2,<br>HEAD BAY 10-11,<br>HB 1-2,<br>WOA 1-2,<br>GLENNGARRY FRAC,<br>HB WEST","092E  001, 092E  005, 092E  006, 092E  015, 092E  028, 092E  063",Zeballos - Kyuquot Area,"ROB ROY 1-3, LOT 411 STORMONT, LOT 410 GLENGARRY, LOT TEXAS, 544930, ROB ROY, HB 1-2, ROB ROY 2-3, ROB ROY 5-8, ROB ROY 15, HEAD BAY WEST, SOUTHWEST, 1,2, HEAD BAY 10-11, HB 1-2, WOA 1-2, GLENNGARRY FRAC, HB WEST",Geological,Geological,"12058, 13026, 13681, 13806, 16355, 17139, 17521, 18833, 22335, 29150, 32221",Canadian Dehua International Mines Group,Canadian Dehua International Mines Group,"Shearer, Johan Tom FMC 124452","Gold, Iron","Jurassic, Bonanza Group, Calc-alkaline volcanics, Triassic, Vancouver Group, Island Plutonic Suite, Granodiorites, Karmutsen Formation, Basaltic volcanics, Quatsino Formation, Limestones, Parson Bay Formation, Skarns, Magnetite, Garnet skarn, Catface Intrusions, Mafic dikes, Felsic dykes",4988.0,1.767,2822.8636109999998,1.3880000000000001,3593.6599420000002,1.177,4237.892948,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=34006
304,33796,1.0,2012/7/15,GEOP:PROS:GEOC:,7344,Geophysical and Geochemical Assessment Report on the Monteith Bay Pyrophyllite,2012,2012.0,,2013-07-15,,2012/7/15,53,Monteith Bay,092L03W:,092L014:,50,7,36,127,16,58,9,5554125,622750,50.126667,-127.28277800000001,PL:,,,NAN,3.0,ALBI:,Alberni,Alberni,"EASY SIX,<br>506981,<br>506985,<br>DEER","092L  072, 092L  117, 092L  246, 092L  343",,"EASY SIX, 506981, 506985, DEER","Geophysical,<br>Prospecting,<br>Geochemical","Geophysical, Prospecting, Geochemical","04539, 08279, 11374, 12681, 23139, 23837, 26312, 26824","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452",Pyrophyllite,"Jurassic, Bonanza Group, Andesitic volcanics, Pyrophyllite, Calc-alkaline volcanics, Geyserite",7460.0,1.7690000000000001,4217.071792,1.389,5370.770338,1.178,6332.767402,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33796
334,33789,1.0,2012/7/8,GEOL:,11300,Assessment Report on the Head Bay Property,2012,2012.0,,2013-07-08,,2012/7/8,59,Head Bay,092F13E:,092F073:,49,47,12,126,30,0,9,5517911,679950,49.786667,-126.5,AU:FE:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"Rob Roy 3,<br>Lot 411 Stormont,<br>Lot 410 Glengarry,<br>Lot 412 Texas,<br>Rob Roy 2,<br>Rob Roy","092E  001, 092E  015, 092E  028, 092E  063",Zeballos - Kyuquot Area,"Rob Roy 3, Lot 411 Stormont, Lot 410 Glengarry, Lot 412 Texas, Rob Roy 2, Rob Roy",Geological,Geological,"11221, 13026, 16355, 17521, 29150, 32221",Homegold Resources Ltd.,"Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Gold, Iron","Triassic, Vancouver Group, Jurassic, Bonanza Group, Karmutsen Formation, Tertiary, Catface Intrusions, Diorites, Basalts, Andesites, Limestones, Quatsino Formation, Mafic dykes",8271.0,1.7690000000000001,4675.522894,1.389,5954.643629,1.178,7021.222411,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33789
445,33803,1.0,2012/11/13,GEOC:,16168,Geochemical Report on the Deer Bay Property,2013,2012.0,,2013-11-13,,2012/11/13,29,Deer Bay,092F04E:,092F022:,49,13,5,125,37,6,10,5454996,309336,49.218056,-125.618333,NI:CU:PT:PD:CO:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,NICK 2,092F  029,Tofino - Kennedy River Area,NICK 2,Geochemical,Geochemical,"13121, 14182, 15155, 15447, 22749, 30898","Birkeland, Arne O. (FMC 102420)","Birkeland, Arne O. (FMC 102420)","Birkeland, Arne O. (FMC 102420)","Nickel, Copper, Platinum, Palladium, Cobalt","Mississippian-Permian, Buttle Lake Group, Sicker Group, Amphibolites, Gabbros",11749.43,1.767,6649.366157,1.3880000000000001,8465.007205,1.177,9982.523364,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33803
554,32853,1.0,2012/1/4,GEOL:GEOC:,17059,Geological and Geochemical Report on the Tahsis Property,2012,2012.0,,2013-01-04,,2012/1/4,82,Tahsis,092E01W:,092E078:,49,44,43,126,30,40,9,5513283,679303,49.745278000000006,-126.51111100000001,,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"534520,<br>534845,<br>549088,<br>566323,<br>574699,<br>843605,<br>843609",092E  020,Zeballos - Kyuquot Area,"534520, 534845, 549088, 566323, 574699, 843605, 843609","Geological,<br>Geochemical","Geological, Geochemical",31969,RCR MINING LLP,Rock-Con Resources Inc.,"Houle, Jacques (FMC 137830)",,"Triassic, Eocene, Quatsino Formation, Mount Washington Plutonic Suite, Quartz diorites, Limestones",17063.87,1.7690000000000001,9646.054268,1.389,12285.0036,1.178,14485.4584,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32853
597,33834,1.0,2013/2/4,GEOC:,30380,Geochemical Assessment Report on the Flores Island Property,2013,2012.0,,2014-02-04,,2013/2/4,61,Flores Island,092E08E:,092E040:,49,19,54,126,8,4,9,5468277,708186,49.331666999999996,-126.13444399999999,,,,NAN,3.0,ALBI:,Alberni,Alberni,FI 1-6,092E  045,,FI 1-6,Geochemical,Geochemical,"02317, 03689, 04356, 04956, 08056, 09658",Catface Copper Mines Ltd.,Catface Copper Mines Ltd.,"Perry, Dustin",,"Paleozoic, Paleocene-Eocene, West Coast Complex, Clayoquot Plutonic Suite, Flores Volcanics, Andesites, Rhyolites, Tuffs, Granodiorites, Tonalites",22139.44,1.767,12529.39445,1.3880000000000001,15950.60519,1.177,18810.05947,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33834
603,33720,1.0,2012/12/12,GEOC:,28197,Geochemical Survey Report on the Catface NE Property,2013,2012.0,,2013-12-12,,2012/12/12,59,Catface NE,092F05W:,092F031:,49,20,47,125,51,34,10,5469896,292320,49.346389,-125.859444,CU:MO:AU:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"CC 3,<br>CC 6",,Tofino - Kennedy River Area,"CC 3, CC 6",Geochemical,Geochemical,"19182, 19330, 19766, 20561, 31891, 32940",Catface Copper Mines Ltd.,Catface Copper Mines Ltd.,"Perry, Dustin","Copper, Molybdenum/Molybdenite, Gold","Paleozoic, Sicker Group, Felsic volcanics, Mafic volcanics, Karmutsen Formation, Limestones, Vancouver Group, Vancouver Group, Jurassic, Jurassic, Island Plutonic Suite, Island Plutonic Suite, Granodiorites, Granodiorites, Buttle Lake Group",23065.53,1.767,13053.49745,1.3880000000000001,16617.817,1.177,19596.8819,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33720
