,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
99,36971,1.0,2017/6/13,PROS:,3406,Geological & Geochemical Assessment Report,2018,2017.0,,2018-06-13,,2017/6/13,29,Gold Queen,092F03W:,092F013:,49,11,7,125,25,8,10,5450869,323741,49.185278000000004,-125.418889,CU:AU:MO:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,River,"092F  046, 092F  051, 092F  052",Tofino - Kennedy River Area,River,Prospecting,Prospecting,"18218, 21563, 22456, 22971, 23451, 23931, 25493","Paterson, Douglas William","BAKUS, JOHN NICK","Sookochoff, Laurence","Copper, Gold, Molybdenum/Molybdenite","Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanic rocks",3298.0,1.926,1712.3572170000002,1.514,2178.335535,1.284,2568.5358260000003,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36971
128,37150,1.0,2017/9/22,PROS:GEOC:,3894,Geochemical Assessment Report on the Santa Barbara Mineral Property,2017,2017.0,,2018-09-22,,2017/9/22,33,Santa Barbara,092L02W:,092L007:,50,1,9,126,45,7,9,5543183,661040,50.019166999999996,-126.751944,AU:,29.0,,NAN,4.0,ALBI:,Alberni,Alberni,"SANTA BARBARA,<br>SANTA BARBARA II","092L  083, 092L  019",Zeballos - Kyuquot Area,"SANTA BARBARA, SANTA BARBARA II","Prospecting,<br>Geochemical","Prospecting, Geochemical","27428, 18928, 26084","Hoogendoorn, Paul","Hoogendoorn, Paul","Hoogendoorn, Paul",Gold,"Triassic, Vancouver Group, Parson Bay Formation, Limestones, Slates, Siltstones, Argillites, Quatsino Formation, Calcareous sedimentary rocks, Eocene-Oligocene, Mount Washington Plutonic Suite, Quartz diorites, Intrusive rocks, Carbonate hosted gold, Dolomites, Andesites",3925.0,1.875,2093.333333,1.474,2662.822252,1.25,3140.0,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37150
335,36887,1.0,2017/7/8,GEOC:,8524,Geochemical Assessment Report on the Monteith Pyrophyllite Project,2017,2017.0,,2018-07-08,,2017/7/8,45,Monteith Pyrophyllite (Morris Zone),092L03W:,092L014:,50,7,41,127,17,14,9,5554273,622420,50.128056,-127.287222,PL:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"EASY SIX,<br>506981,<br>EASY S,<br>1050244","092L  072, 092L  117, 092L  343",Zeballos - Kyuquot Area,"EASY SIX, 506981, EASY S, 1050244",Geochemical,Geochemical,"08279, 26312, 33796, 35640, 36367","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452",Pyrophyllite,"Triassic-Jurassic, Bonanza Group, Volcanic rocks, Volcanic fragmentals, Volcanic flows, Dacites, Andesites, Flows, Flow dome structures, Silica alteration, Alumina alteration, Pyrophyllite",8810.0,1.875,4698.666667,1.474,5976.933514,1.25,7048.0,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36887
337,37068,1.0,2017/6/8,GEOL:PROS:,7678,Geological & Prospecting Assessment Report,2018,2017.0,,2018-06-08,,2017/6/8,35,Zeballos,092L02W:,092L006:,50,1,47,126,47,22,9,5544276,658320,50.029722,-126.78944399999999,AU:AG:CU:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"Zeb Back South,<br>Zeb Privateer Tailings,<br>Zeb Pandora,<br>Zeb Maquinna,<br>Zebmaquinna2","092L  004, 092L  023, 092L  026, 092L  027, 092L  029, 092L  129, 092L  130, 092L  210, 092L  310",Zeballos - Kyuquot Area,"Zeb Back South, Zeb Privateer Tailings, Zeb Pandora, Zeb Maquinna, Zebmaquinna2","Geological,<br>Prospecting","Geological, Prospecting","00418, 03056, 03057, 26454, 00309","Anthony, Roman","BAKUS, JOHN NICK","Sookochoff, Laurence","Gold, Silver, Copper","Jurassic, Island Plutonic Suite, Granodiorites, Triassic, Vancouver Group, Quatsino Formation, Limestones, Marbles, Calcareous sedimentary rocks, Bonanza Group, Calc-alkaline volcanics, Eocene-Oligocene, Mount Washington Plutonic Suite, Quartz diorites, Pyrite, Pyrrhotite, Arsenopyrite, Sphalerite, Chalcopyrite, Galena, Hornfels, Skarns",9133.0,1.926,4741.952233,1.514,6032.364597,1.284,7112.928349,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37068
338,37172,1.0,2017/10/9,GEOL:GEOC:,12532,Geological & Geochemical Assessment Report,2018,2017.0,,2018-10-09,,2017/10/9,46,Macktush Gold,092F02W:,092F016:,49,6,53,124,51,11,10,5441856,364787,49.114722,-124.85305600000001,CU:AU:MO:,,,NAN,3.0,ALBI:,Alberni,Alberni,"MACTUSHIE,<br>MACTUSH NORTH,<br>MACTUSH GOLD DEPOSIT EAST,<br>MACTUSH GOLD DEPOSIT",092F  012,,"MACTUSHIE, MACTUSH NORTH, MACTUSH GOLD DEPOSIT EAST, MACTUSH GOLD DEPOSIT","Geological,<br>Geochemical","Geological, Geochemical","33140, 32484, 28989, 12044, 21512, 26823, 33232, 28497","Saulnier, Paul","BAKUS, JOHN NICK","Sookochoff, Laurence","Copper, Gold, Molybdenum/Molybdenite","Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanic rocks, Jurassic, Island Plutonic Suite, Granodiorites, Intrusive rocks",9138.72,1.926,4744.922118,1.514,6036.142668,1.284,7117.383178,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37172
465,37318,1.0,2017/12/3,GEOC:PROS:,1911,Prospecting Report on the Stella and Stella Maris Claims,2017,2017.0,,2018-12-03,,2017/12/3,32,"Stella 2, 3, 4, 5 and Stellla Maris",092C15W:,092C086:,48,53,12,124,48,36,10,5416436,367315,48.886666999999996,-124.81,AU:AG:,23.0,,NAN,4.0,ALBI:,Alberni,Alberni,"STELLA3,<br>STELLA4,<br>STELLA5,<br>STELLA MARIS,<br>STELLA2",,Sarita - Gordon River Area,"STELLA3, STELLA4, STELLA5, STELLA MARIS, STELLA2","Geochemical,<br>Prospecting","Geochemical, Prospecting",,"Wenstob, Wayne Bary","Wenstob, Wayne Bary","Wenstob, Wayne Bary","Gold, Silver","Jurassic, Island Plutonic Suite, Granodiorites, Bonanza Group, Calc-alkaline volcanics",13450.0,1.875,7173.333333,1.474,9124.830393,1.25,10760.0,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37318
976,37551,,2018/4/24,GEOL:PHYS:,1000,Report on aerial photogrammetry on the Boyko Placer Tenure,2018,2017.0,,,,2018/4/24,7,7600,104N05E:,104N043:,59,27,51,133,33,16,8,6592629,581926,59.464167,-133.554444,AU:,,,,,ATLN:,Atlin,Atlin,390487,,,390487,"Geological,<br>Physical","Geological, Physical",,"Boyko, Bill","Boyko, Bill","Devine, Fionnuala",Gold,"Mississippian-Triassic, Cache Creek Complex, Kedahda Formation, Cherts, Siliceous argillites, Siliciclastics, Greenstones",1350.0,1.926,700.9345794,1.514,891.677675,1.284,1051.401869,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37551
1024,37358,1.0,2017/12/21,PROS:,2267,Report on Property Visit,2017,2017.0,,2018-12-21,,2017/12/21,24,Windy,104M15E:,104M097:,59,59,44,134,39,20,8,6650966,519215,59.99555600000001,-134.65555600000002,CU:AU:,,,SMI,3.0,ATLN:,Atlin,Atlin,1049582,104M  096,,1049582,Prospecting,Prospecting,29473,"Edenoste, Ross","Edenoste, Ross","LeBarge, William P.","Copper, Gold","Cretaceous, Windy Table Complex, Rhyolites, Felsic volcanics, Jurassic, Laberge Group, Inklin Formation, Argillites, Greywackes, Wackes, Conglomerate turbidites, Porphyry dykes, Arsenopyrite, Galena, Sphalerite, Chalcopyrite",3382.68,1.875,1804.096,1.474,2294.898236,1.25,2706.1440000000002,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37358
1255,37079,1.0,2017/8/26,GEOL:GEOC:,11029,Manually Testing and Geological Observations on Placer Claims,2017,2017.0,,2018-08-26,,2017/8/26,25,Burdette Creek,104N06W:,104N033:,59,22,48,133,27,0,8,6583387,588060,59.38,-133.45,AU:,53.0,,SMI,3.0,ATLN:,Atlin,Atlin,BURDETTE #1,,Atlin Camp,BURDETTE #1,"Geological,<br>Geochemical","Geological, Geochemical",36331,"Aspinall, Nicholas Clive","Aspinall, Nicholas Clive","Aspinall, Nicholas Clive",Gold,"Mississippian-Permian, Cache Creek Complex, Horsefeed Formation, Limestones, Marbles, Calcareous sedimentary rocks, Kedahada Formation, Cherts, Siliceous argillites, Siliclastic rocks, Placers, Placer gold",9654.0,1.875,5148.8,1.474,6549.5251020000005,1.25,7723.2,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37079
1820,37041,1.0,2017/8/6,GEOL:GEOP:GEOC:,52811,Keystone Project Part IV,2017,2017.0,,2018-08-06,,2017/8/6,189,Keystone Project,104N11W:,104N054:,59,33,1,133,22,6,8,6602461,592237,59.550278000000006,-133.368333,AU:,53.0,,SMI,3.0,ATLN:,Atlin,Atlin,"UPPER OTTER #1,<br>UPPER OTTER #2,<br>UPPER OTTER #3,<br>SEA OTTER,<br>GOLDEN OTTER,<br>SNOW OWL,<br>SILVER OTTER,<br>MOUNTAIN OTTER,<br>BLUE OTTER,<br>SILVER FOX,<br>SILVER TIP FOX,<br>RED FOX,<br>SLY FOX,<br>KING OTTER,<br>THE RIGHT OTTER,<br>FRIENDLY OTTER,<br>OTTER EAST EXTENSION,<br>SPOTTED OWL,<br>1040320,<br>GOLD OTTER,<br>OTTER QUEEN",,Atlin Camp,"UPPER OTTER #1, UPPER OTTER #2, UPPER OTTER #3, SEA OTTER, GOLDEN OTTER, SNOW OWL, SILVER OTTER, MOUNTAIN OTTER, BLUE OTTER, SILVER FOX, SILVER TIP FOX, RED FOX, SLY FOX, KING OTTER, THE RIGHT OTTER, FRIENDLY OTTER, OTTER EAST EXTENSION, SPOTTED OWL, 1040320, GOLD OTTER, OTTER QUEEN","Geological,<br>Geophysical,<br>Geochemical","Geological, Geophysical, Geochemical","04843, 10537, 13409, 13461, 13616, 16561, 35391, 35750, 36312","Aspinall, Nicholas Clive; Javorsky, David","Aspinall, Nicholas Clive; Javorsky, David","Aspinall, Nicholas Clive",Gold,"Mississippian-Triassic, Carboniferous-Triassic, Cache Creek Complex, Cherts, Siliceous argillites, Siliciclastics, Limestones, Marbles, Calcareous sedimentary rocks, Sedimentary rocks, Mississippian-Permian, Nakina Formation, Basaltic volcanics, Horsefeed Formation, Andesites, Basalts, Gabbros, Ultramafic rocks, Ophiolites, Placer gold, Gold, Casino Break, Kedahda Formation",51098.57,1.875,27252.570669999997,1.474,34666.60109,1.25,40878.856,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37041
