,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
9,32305,1.0,2010/9/8,PROS:,677,Prospecting and Gamma Ray Spectrometry on the Jasmine Property,2010,2010.0,,2011-09-08,,2010/9/8,11,Jasmine,092F02E:,092F007:,49,1,15,124,41,37,10,5431153,376179,49.020833,-124.693611,,,,NAN,4.0,ALBI:,Alberni,Alberni,518443,,,518443,Prospecting,Prospecting,29607,"McLelland, Julie","McLelland, Julie","McLelland, David",,"Jurassic, Island Plutonic Suite, Granodiorites",995.0,1.709,582.2118198,1.3419999999999999,741.4307004,1.138,874.340949,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32305
202,31816,1.0,2010/7/27,GEOP:,3623,Gamma Ray Prospecting on the WWW Property,2010,2010.0,,2011-07-27,,2010/7/27,20,WWW,092F02E:,092F007:,49,1,26,124,42,1,10,5431500,375700,49.023889000000004,-124.700278,,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"516513,<br>516514",092F  380,Tofino - Kennedy River Area,"516513, 516514",Geophysical,Geophysical,"12735, 14987, 16119, 27832, 27833, 28489, 28490, 29111, 29323, 31317, 31322","McLelland, Julie","McLelland, Julie","McLelland, David",,"Triassic-Jurassic, Karmutsen Formation, Island Plutonic Suite, Basalts, Granodiorites",4808.95,1.709,2813.897016,1.3419999999999999,3583.420268,1.138,4225.7908609999995,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31816
243,31821,1.0,2010/9/8,GEOP:,3048,Gamma Ray Spectrometer Prospecting on the WWW Property,2010,2010.0,,2011-09-08,,2010/9/8,19,WWW,092F01W:,092F009:,49,1,41,124,40,55,10,5431937,377050,49.028056,-124.681944,CU:AU:,,,NAN,3.0,ALBI:,Alberni,Alberni,516512,092F  141,,516512,Geophysical,Geophysical,"02771, 06865, 28875, 31357","McLelland, Julie","McLelland, Julie",Auracle Geospatial Science Inc.,"Copper, Gold","Jurassic, Island Plutonic Suite, Karmutsen Formation, Basalts, Granodiorites",5758.95,1.709,3369.7776479999998,1.3419999999999999,4291.318927,1.138,5060.588752000001,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31821
248,32342,1.0,2010/12/24,PROS:,5019,WWW Area Project Gamma Ray Prospecting of the TRIM and Jul claims,2010,2010.0,,2011-12-24,,2010/12/24,18,WWW,092F02E:,092F009:,49,0,39,124,40,48,10,5430020,377150,49.010833,-124.68,AU:AG:CU:,,,NAN,4.0,ALBI:,Alberni,Alberni,"516513,<br>516514",,,"516513, 516514",Prospecting,Prospecting,,"McLelland, Julie","McLelland, Julie","McLelland, David","Gold, Silver, Copper","Karmutsen Formation, Basalts, Island Plutonic Suite, Granodiorites, Bonanza Group, Vancouver Group, Triassic, Jurassic, Limestones",5834.9,1.709,3414.2188409999994,1.3419999999999999,4347.913562,1.138,5127.328647,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32342
487,32221,1.0,2011/1/4,GEOL:,18851,Geological Assessment Report on the Head Bay Gold Property,2011,2010.0,,2012-01-04,,2011/1/4,71,Head Bay Gold,092E15E:,092E088:,49,48,10,126,31,10,9,5519655,678491,49.802778,-126.519444,AU:FE:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"404162,<br>404163,<br>Rob Roy 1-4,<br>Head Bay 1-2","092E  001, 092E  015, 092E  063",Zeballos - Kyuquot Area,"404162, 404163, Rob Roy 1-4, Head Bay 1-2",Geological,Geological,"12058, 13026, 13681, 16355, 17521, 29150","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Gold, Iron","Triassic, Jurassic, Island Plutonic Suite, Karmutsen Formation, Parson Bay Formation, Basalts, Granodiorites, Limestones",13571.0,1.75,7754.857143000001,1.374,9877.001456,1.165,11648.92704,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32221
712,31749,1.0,2010/8/23,GEOL:GEOC:,40849,2010 Assessment Report on a Geology and Geochemistry Program,2010,2010.0,,2011-08-23,,2010/8/23,154,Hisnit,092E10E:,092E078:,49,44,24,126,31,38,9,5512658,678162,49.74,-126.527222,CU:MO:AU:AG:,,,NAN,3.0,ALBI:,Alberni,Alberni,"Angela 1,<br>Argo 1,<br>Argo 2,<br>West Extension",,,"Angela 1, Argo 1, Argo 2, West Extension","Geological,<br>Geochemical","Geological, Geochemical",29909,"Berkshire, Dan P.","Berkshire, Dan P.","Houle, Jacques (FMC 137830)","Copper, Molybdenum/Molybdenite, Gold, Silver","Paleozoic-Jurassic, West Coast Complex, Triassic, Quatsino Formation, Parson Bay Formation, Jurassic, Bonanza Group, Island Plutonic Suite, Mount Washington Plutonic Suite, Limestones, Volcanics",40981.3,1.709,23979.69573,1.3419999999999999,30537.481369999998,1.138,36011.68717,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31749
1183,32184,1.0,2011/1/7,GEOC:,8385,Geochemical Report on the Metla Property,2011,2010.0,,2012-01-07,,2011/1/7,39,Metla,104K07E:,104K037:,58,23,48,132,38,28,8,6475291,637869,58.396667,-132.64111100000002,AU:AG:,,,SMI,3.0,ATLN:,Atlin,Atlin,832466,104K  161,,832466,Geochemical,Geochemical,"21757, 27145, 27771, 29058, 30661","Aspinall, Nicholas Clive","Aspinall, Nicholas Clive; Dawson, James Martin","Aspinall, Nicholas Clive","Gold, Silver","Triassic, Stuhini Group, Andesites, Breccias, Agglomerates, Phyllites",7110.44,1.75,4063.108571,1.374,5174.992722,1.165,6103.381974,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32184
2286,31840,1.0,2010/12/18,PROS:,645,2010 - 2011 Prospecting Report,2010,2010.0,,2011-12-18,,2010/12/18,10,Gallagher,093A12W:,093A051:,52,31,7,121,54,54,10,5819275,573621,52.518611,-121.915,CU:AU:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,548926,,,548926,Prospecting,Prospecting,"31283, 30541, 30326","Chamberlain, David Reginald","Chamberlain, David Reginald","Amey, William Larry","Copper, Gold","Permian-Triassic, Cache Creek Group, Cache Creek Complex, Jurassic, Sedimentary rocks",763.6,1.709,446.8110006,1.3419999999999999,569.0014903,1.138,671.0017575,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=31840
2295,32444,1.0,2011/7/12,PROS:,788,2011 Prospecting Report on the Gallagher Property,2011,2010.0,,2012-07-12,,2011/7/12,8,Gallagher,093A12W:,093A051:,52,31,13,121,54,54,10,5819461,573618,52.520278000000005,-121.915,,,,PRG,4.0,CBOO:,Cariboo,Cariboo,548926,,,548926,Prospecting,Prospecting,"29825, 30541, 31283, 31840","Chamberlain, David Reginald","Chamberlain, David Reginald","Amey, William Larry",,"Triassic, Jurassic, Cache Creek Complex, Limestones, Marbles",914.8,1.75,522.7428571,1.374,665.7933042000001,1.165,785.2360514999999,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32444
2300,32259,1.0,2011/4/25,PROS:,920,2010 Prospecting Report on the Stone Creek Property,2011,2010.0,,2012-04-25,,2011/4/25,13,Stone Creek,093G09W:,093G068:,53,37,28,122,29,16,10,5941860,533877,53.624444,-122.487778,,,,PRG,4.0,CBOO:,Cariboo,Cariboo,584033,,,584033,Prospecting,Prospecting,30744,"Nelson, Kenneth Eric","Nelson, Kenneth Eric","Nelson, Kenneth Eric",,"Cretaceous, Naver Batholith, Snowshoe Group, Schists, Granites",1077.0,1.75,615.4285714,1.374,783.8427948,1.165,924.4635193,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32259
