,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
153,36066,1.0,2016/1/19,GEOL:PROS:GEOC:GEOP:,211,Prospecting Report,2016,2015.0,,2017-01-19,,2016/1/19,52,Edna,092F02E:,092F007:,49,2,46,124,42,4,10,5433976,375694,49.046110999999996,-124.70111100000001,CU:AG:FE:,,,NAN,3.0,ALBI:,Alberni,Alberni,EDNA,,,EDNA,"Geological,<br>Prospecting,<br>Geochemical,<br>Geophysical","Geological, Prospecting, Geochemical, Geophysical",21493,"Phillips, Jerry D.","Phillips, Jerry D.","Phillips, Jerry D.","Copper, Silver, Iron","Jurassic, Island Plutonic Suite, Quartz diorites, Diorites, Potassic alteration",4156.08,1.837,2262.4278719999998,1.443,2880.16632,1.224,3395.490196,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36066
160,35640,1.0,2015/7/19,GEOC:,3871,Geological and Geochemical Assessment Report,2015,2015.0,,2016-07-19,,2015/7/19,48,Monteith Bay Pyrophyllite,092L03W:,092L014:,50,7,39,127,17,20,9,5554209,622302,50.1275,-127.28888899999998,PL:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"Easy Six,<br>506981,<br>506985","092L  117, 092L  343",Zeballos - Kyuquot Area,"Easy Six, 506981, 506985",Geochemical,Geochemical,"12681, 11374, 33796, 26312, 23837","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452",Pyrophyllite,"Jurassic, Bonanza Group, Calc-alkaline volcanics, Andesites, Silica alteration, Flow dome structures, Alumina alteration, Pyrophyllite",4190.0,1.804,2322.616408,1.4169999999999998,2956.951306,1.202,3485.8569049999996,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35640
182,35892,1.0,2015/10/30,PROS:GEOC:,4633,Assessment Report Geochemical Report,2016,2015.0,,2016-10-30,,2015/10/30,38,Conuma,092E16W:,092E089:,49,50,58,126,19,40,9,5525317,692096,49.849444,-126.32777800000001,ZN:PB:CU:AG:AU:,,,NAN,3.0,ALBI:,Alberni,Alberni,NORGATE,092E  083,,NORGATE,"Prospecting,<br>Geochemical","Prospecting, Geochemical","24377, 26647, 27214, 30319, 33308",Red Hut Metals Inc.,Red Hut Metals Inc.,"Webster, Ian","Zinc, Lead, Copper, Silver, Gold","Paleozoic-Jurassic, Westcoast Crystalline Complex, Amphibolite grade, Metamorphic rocks, Jurassic, Island Plutonic Suite, Granodiorites, Sicker Group, Magnetite, Jasper, Massive sulphides, Pyrite",4660.0,1.837,2536.744692,1.443,3229.383229,1.224,3807.189542,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35892
193,35842,1.0,2015/11/17,PROS:GEOC:,4508,Technical Report for Statement of Work Event # 5579225,2016,2015.0,,2016-11-17,,2015/11/17,32,Lime,092F02E:092F02W:,092F017:,49,6,50,124,38,24,10,5441411,380322,49.113889,-124.64,AU:AG:CU:,24.0,,NAN,3.0,ALBI:,Alberni,Alberni,"LIM10,1015732,1016354-55,<br>LIM","092F  083, 092F  439, 092F  442",Sicker Belt,"LIM10,1015732,1016354-55, LIM","Prospecting,<br>Geochemical","Prospecting, Geochemical","10237, 11949, 17661, 28430, 35035",Paul Saulnier,Paul Saulnier; Angild Investments Ltd.,Paul Saulnier,"Gold, Silver, Copper","Devonian, Mississippian-Permian, Eocene-Oligocene, Sicker Group, Mount Hall Gabbro, Mount Washington Plutonic Suite, Gabbros, Quartz diorites, Volcaniclastic rocks, Basaltic volcanics, Limestones, Buttle Lake Group",4937.26,1.837,2687.675558,1.443,3421.5246020000004,1.224,4033.70915,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35842
195,36367,1.0,2016/7/21,GEOC:,5598,Geochemical Assessment Report on the Monteith Bay Pyrophyllite Project (Deer Trail Showing),2016,2015.0,,2017-07-21,,2016/7/21,46,Monteith Pyrophyllite,092I01W:,092I019:,50,7,41,127,17,14,9,5554273,622420,50.128056,-127.287222,PL:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"Easy Six,<br>506981,<br>506985,<br>Deer,<br>Easy S","092L  117, 092L  343",Zeballos - Kyuquot Area,"Easy Six, 506981, 506985, Deer, Easy S",Geochemical,Geochemical,"12681, 11374, 35640, 33796","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452",Pyrophyllite,"Triassic-Jurassic, Bonanza Group, Volcanic rocks, Sedimentary rocks, Volcanic fragmentals, Volcanic flows, Dacites, Andesites, Flows, Flow dome structures, Silica alteration, Alumina alteration, Pyrophyllite",4990.0,1.837,2716.3854109999997,1.443,3458.073458,1.224,4076.7973859999997,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36367
269,35729,1.0,2015/6/6,PROS:,5483,"Technical Assessment Report Prospecting, Geophysical and Geochemistry Program",2015,2015.0,,2016-06-06,,2015/6/6,52,Vancouver Island Gold Claim 1-2-3-4,092F06E:,092F025:,49,16,54,125,1,50,10,5460752,352324,49.281667,-125.030556,AU:,,,NAN,2.0,ALBI:,Alberni,Alberni,VANCOUVER ISLAND GOLD,092F  307,,VANCOUVER ISLAND GOLD,Prospecting,Prospecting,"13539, 17040","Beaudoin, Jacques Aime","Beaudoin, Jacques Aime","Beaudoin, Jacques Aime",Gold,"Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanic rocks, Andesite flows, Tuffs, Quartz veins, Pyrite, Chalcopyrite, Galena",6730.0,1.804,3730.5986700000003,1.4169999999999998,4749.470713000001,1.202,5599.001664,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35729
282,36029,1.0,2016/1/6,PROS:,5767,"Technical Assessment Report Prospecting, Geophysical and Geochemistry Program",2016,2015.0,,2017-01-06,,2016/1/6,67,Douglas Gold Claims,092F02E:,092F017:,49,7,3,124,39,10,10,5441833,379399,49.1175,-124.652778,AU:AG:CU:,24.0,,NAN,4.0,ALBI:,Alberni,Alberni,"DOUGLAS GOLD,<br>DOUGLAS GOLD 2,<br>DOUGLAS GOLD 3",092F  443,Sicker Belt,"DOUGLAS GOLD, DOUGLAS GOLD 2, DOUGLAS GOLD 3",Prospecting,Prospecting,"35842, 11064","Beaudoin, Jacques Aime","Beaudoin, Jacques Aime","Beaudoin, Jacques Aime","Gold, Silver, Copper","Devonian, Sicker Group, McLaughlin Ridge Formation, Volcaniclastic rocks, Jurassic, Island Plutonic Suite, Granodiorites, Triassic, Mount Hall Gabbro, Gabbros, Diorites, Basaltic volcanics",7200.0,1.837,3919.43386,1.443,4989.60499,1.224,5882.352940999999,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36029
481,35935,1.0,2015/11/24,GEOC:,7216,Preliminary Report on the Mineral Prospectivity of the Eliza Property,2016,2015.0,,2016-11-24,,2015/11/24,34,Port Eliza,092E14E:,092E085:,49,53,31,127,1,39,9,5528482,641675,49.891944,-127.0275,AU:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"1032436,<br>1033266,<br>CAISEY,<br>DENISE",092E  043,Zeballos - Kyuquot Area,"1032436, 1033266, CAISEY, DENISE",Geochemical,Geochemical,"14796, 17724","Harlingten, Caisey","Harlingten, Caisey","Hawkins, Thomas David",Gold,"Jurassic, Bonanza Group, Calc-alkaline volcanics, Island Plutonic Suite, Granodiorites, Quartz veins, Andesites, Quartz carbonate veins, Chlorite alteration, Volcaniclastic rocks, Quartz-calcite veins, Native gold, Pyrite, Chalcopyrite",13847.62,1.837,7538.170931000001,1.443,9596.410256000001,1.224,11313.41503,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35935
670,35774,1.0,2015/6/10,GEOL:GEOP:,30418,WWWW Area Project Differential Interferometric Satellite Synthetic Aperture Radar Change and Texture detection,2015,2015.0,,2016-06-10,,2015/6/10,19,WWW Area,092F02E:,092F007:,49,1,0,124,40,5,10,5430649,378037,49.016667,-124.668056,AU:AG:CU:PB:,,,NAN,3.0,ALBI:,Alberni,Alberni,"516513,<br>516514,<br>516512,<br>TOPS","092F  141, 092F  380",,"516513, 516514, 516512, TOPS","Geological,<br>Geophysical","Geological, Geophysical","02771, 06865, 12735, 14987, 16119, 27832, 27833, 28489, 28490, 28875, 29111, 29323, 29607, 31322, 31357, 31821, 32305, 32342, 32557, 33841, 34019, 34369, 34471, 35066","McLelland, Julie","McLelland, Julie","McLelland, David","Gold, Silver, Copper, Lead","Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanic rocks, Jurassic, Island Plutonic Suite, Granodiorites, Polymetallic Veins, Pyrite, Sphalerite, Galena, Diorites",34200.0,1.804,18957.8714,1.4169999999999998,24135.49753,1.202,28452.57903,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35774
698,35893,1.0,2015/12/18,GEOL:GEOC:,40208,2015 Assessment Report for Geology and Geochemistry,2015,2015.0,,2016-12-18,,2015/12/18,129,Head Bay,092E15E:,092E078:,49,47,18,126,33,22,9,5517963,675905,49.788333,-126.55611100000002,AU:AG:CU:PB:ZN:FE:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"ROB ROY 8,<br>HEAD BAY 2,<br>GLENNGARRY FRAC,<br>ROB ROY 5,<br>HEAD BAY WEST,<br>HEAD BAY SOUTHWEST,<br>Rob Roy,<br>404162,<br>404163,<br>404168,<br>Rob Roy 2,<br>Rob Roy 3,<br>528854,<br>928415,<br>ROB ROY 15,<br>ROB ROY 6,<br>ROB ROY 5,<br>WOA 2","092E  001, 092E  005, 092E  006, 092E  015, 092E  028, 092E  063, 092E  108, 092E  109, 092E  110",Zeballos - Kyuquot Area,"ROB ROY 8, HEAD BAY 2, GLENNGARRY FRAC, ROB ROY 5, HEAD BAY WEST, HEAD BAY SOUTHWEST, Rob Roy, 404162, 404163, 404168, Rob Roy 2, Rob Roy 3, 528854, 928415, ROB ROY 15, ROB ROY 6, ROB ROY 5, WOA 2","Geological,<br>Geochemical","Geological, Geochemical","09130, 10157, 11221, 12058, 13026, 13681, 13806, 16355, 17139, 17521, 18833, 22335, 29150, 32221, 33789, 34006, 34856",Pioneer Exporations Inc.,Canadian Dehua International Mines Group,"Houle, Jacques (FMC 137830)","Gold, Silver, Copper, Lead, Zinc, Iron","Eocene-Oligocene, Jurassic, Triassic, Island Plutonic Suite, Granodiorites, Mount Washington Plutonic Suite, Quartz diorites, Quartz diorite stocks, Bonanza Group, Calc-alkaline volcanics, Vancouver Group, Parson Bay Formation, Limestones, Slates, Siltstones, Skarns, Magnetite, Marbles, Quartz veins, Sphalerite, Galena, Chalcopyrite, Pyrite",40271.68,1.804,22323.54767,1.4169999999999998,28420.38109,1.202,33503.89351,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35893
