,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
334,33789,1.0,2012/7/8,GEOL:,11300,Assessment Report on the Head Bay Property,2012,2012.0,,2013-07-08,,2012/7/8,59,Head Bay,092F13E:,092F073:,49,47,12,126,30,0,9,5517911,679950,49.786667,-126.5,AU:FE:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"Rob Roy 3,<br>Lot 411 Stormont,<br>Lot 410 Glengarry,<br>Lot 412 Texas,<br>Rob Roy 2,<br>Rob Roy","092E  001, 092E  015, 092E  028, 092E  063",Zeballos - Kyuquot Area,"Rob Roy 3, Lot 411 Stormont, Lot 410 Glengarry, Lot 412 Texas, Rob Roy 2, Rob Roy",Geological,Geological,"11221, 13026, 16355, 17521, 29150, 32221",Homegold Resources Ltd.,"Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Gold, Iron","Triassic, Vancouver Group, Jurassic, Bonanza Group, Karmutsen Formation, Tertiary, Catface Intrusions, Diorites, Basalts, Andesites, Limestones, Quatsino Formation, Mafic dykes",8271.0,1.7690000000000001,4675.522894,1.389,5954.643629,1.178,7021.222411,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33789
1775,33469,1.0,2012/10/2,GEOC:,45265,Blind Creek Resources Ltd. Tagish Lake Project,2012,2012.0,,2013-10-02,,2012/10/2,98,Tagish Lake,104M10E:,104M077:,59,43,53,134,39,55,8,6621545,518821,59.731389,-134.665278,AU:AG:,,,SMI,3.0,ATLN:,Atlin,Atlin,CRINE OUT LOUD,104M  081,,CRINE OUT LOUD,Geochemical,Geochemical,"10426, 18766, 19438, 20790, 29486",Blind Creek Resources Ltd.,"Aspinall, Nicholas Clive","Aspinall, Nicholas Clive","Gold, Silver","Devonian-Triassic, Inklin Formation, Boundary Ranges Metamorphic Suite, Greenstones, Phyllites, Quartzites",37561.15,1.7690000000000001,21232.98474,1.389,27041.86465,1.178,31885.526319999997,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33469
1883,33560,1.0,2013/1/21,PROS:GEOC:,64210,Assessment Report on the Llewellyn Property,2012,2012.0,,2014-01-21,,2013/1/21,0,Llewellyn,104M09W:,104M069:,59,36,1,134,21,7,8,6607075,536582,59.600278,-134.351944,,,,SMI,3.0,ATLN:,Atlin,Atlin,948198,104M  094,,948198,"Prospecting,<br>Geochemical","Prospecting, Geochemical","30379, 19630, 21011, 28929, 29966, 30379",MOMENTUM MINERALS INC.,"Meghji, Nash","Mark, David G.",,"Devonian-Carboniferous, Devonian-Triassic, Jurassic, Cretaceous, Quartz monzonites, Boundary Ranges Metamorphic Suite, Greenstones, Aishihik Plutonic Suite, Granodiorites, Eocene, Sloko Group, Coarse Clastic Sedimentary Rocks, Rhyolites, Laberge Group, Inklin Formation, Argillites, Conglomerates, Wackes, Cache Creek Complex, Andesitic volcanics",64135.6,1.7690000000000001,36255.285469999995,1.389,46173.93808,1.178,54444.48217,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33560
1953,34047,1.0,2013/2/6,GEOL:GEOC:,96594,Geochemical and Geological  Report on the Metla Property,2013,2012.0,,2014-02-06,,2013/2/6,79,Metla,104K07E:,104K037:,58,22,59,132,37,6,8,6473823,639254,58.383056,-132.618333,,,,SMI,3.0,ATLN:,Atlin,Atlin,"393212,<br>408834,<br>409034,<br>832466,<br>840658,<br>840661,<br>852266,<br>852267,<br>510305,<br>510282",104K  161,,"393212, 408834, 409034, 832466, 840658, 840661, 852266, 852267, 510305, 510282","Geological,<br>Geochemical","Geological, Geochemical","19226, 21757, 22127, 22128, 22209, 22210, 27145, 27771, 29058, 30661, 32511, 33489",Ocean Park Ventures Corp.,"Aspinall, Nicholas Clive; Dawson, James Martin","Wilkins, Andrew L.",,"Triassic, Stuhini Group, Sloko-Hyder Plutonic Suite, Granites, Quartz diorites, Breccias, Dacites, Argillaceous sediments",90815.5,1.767,51395.30277,1.3880000000000001,65429.03457999999,1.177,77158.4537,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=34047
2076,33706,1.0,2012/1/29,GEOP:GEOC:,192963,Assessment Report for the Tib Copper-Gold Property,2013,2012.0,,2013-01-29,,2012/1/29,165,Tib,092F13W:,092F081:,49,52,42,125,58,41,10,5529357,286050,49.878333000000005,-125.97805600000001,CU:AU:,,,NAN,3.0,ATLN:,Atlin,Atlin,"Southwest Tib,<br>832583,<br>New Tib 1",092F  401,,"Southwest Tib, 832583, New Tib 1","Geophysical,<br>Geochemical","Geophysical, Geochemical","14551, 23547, 24090, 32983",Universal Ventures Inc.,"Price, Barry J.","Turner, James A.","Copper, Gold","Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanics, Jurassic, Island Plutonic Suite, Granodiorites, Chalcopyrite, Digital data airborne geophysics, Digital data geology map",199607.75,1.767,112964.2049,1.3880000000000001,143809.6182,1.177,169590.2719,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33706
3337,33447,1.0,2012/8/13,GEOC:,11432,Rock Geochemistry Report Hottie Mineral Claims,2012,2012.0,,2013-08-13,,2012/8/13,25,Hottie,093B13W:,093B091:,52,57,39,123,54,25,10,5868295,439085,52.960832999999994,-123.906944,AU:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,"HOTTIE1-4,<br>NAUGHTY 1-2",,,"HOTTIE1-4, NAUGHTY 1-2",Geochemical,Geochemical,"20022, 20277, 20874, 21594, 22400, 23045, 23195, 23695, 24177, 32662",Kootenay Silver Inc.,"Kennedy, Thomas Peter James (FMC134308)","Kennedy, Sean J. (FMC # 142365)",Gold,"Jurassic, Hazelton Group, Eocene, Ootsa Lake Group, Miocene-Pliocene, Chilcotin Group, Basaltic volcanics, Siltstones, Cherts, Greywackes, Andesitic flows, Hornfels",12610.0,1.7690000000000001,7128.321085,1.389,9078.473722,1.178,10704.58404,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33447
3823,33258,1.0,2012/7/2,GEOC:,27250,Geological - Geochemical Report on the Megaton Property,2012,2012.0,,2013-07-02,,2012/7/2,67,Megaton South,093A03W:,093A024:,52,14,30,121,16,5,10,5789331,618253,52.241667,-121.268056,CU:MO:AU:,36.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,521674,"093A  088, 093A  188",Cariboo - Quesnel Belt,521674,Geochemical,Geochemical,"30561, 12479, 31013, 27157, 14249, 29322","Wahl, Herbert Joseph (FMC# 128059); Brown - John, Jack; Woodjam Horsefly Resources Ltd.","Wahl, Herbert Joseph (FMC# 128059); Brown - John, Jack","Wahl, Herbert Joseph (FMC# 128059)","Copper, Molybdenum/Molybdenite, Gold","Quesnel Trough, Triassic, Nicola Group, Eocene, Kamloops Group, Triassic-Jurassic, Granodiorites, Calc-alkaline volcanics",22985.64,1.7690000000000001,12993.578290000001,1.389,16548.33693,1.178,19512.42784,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33258
3898,33259,1.0,2012/9/11,GEOC:PHYS:,25250,Report of 2012 Excavator Trenching on the Keno Property,2012,2012.0,,2013-09-11,,2012/9/11,36,Keno,093A06E:,093A035:,52,18,30,121,3,9,10,5797119,632770,52.308333000000005,-121.0525,MO:CU:AU:AG:,36.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,KENO,093A  079,Cariboo - Quesnel Belt,KENO,"Geochemical,<br>Physical","Geochemical, Physical","12363, 20040, 24717, 25734, 26317, 28677, 30356, 32659","Wahl, Herbert Joseph (FMC# 128059); Brown - John, Jack; Woodjam Horsefly Resources Ltd.","Wahl, Herbert Joseph (FMC# 128059); Brown - John, Jack","Wahl, Herbert Joseph (FMC# 128059)","Molybdenum/Molybdenite, Copper, Gold, Silver","Triassic, Argillites, Siltstones",25605.25,1.7690000000000001,14474.420580000002,1.389,18434.30526,1.178,21736.20543,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33259
4064,32947,1.0,2012/2/15,GEOP:,35519,Geophysical Report on the Birch Property,2012,2012.0,,2013-02-15,,2012/2/15,113,Birch,093A06W:,093A044:,52,24,22,121,21,17,10,5807482,611920,52.406110999999996,-121.354722,,36.0,,PRG,3.0,CBOO:,Cariboo,Cariboo,"516680,<br>516686,<br>516687","093A  077, 093A  155",Cariboo - Quesnel Belt,"516680, 516686, 516687",Geophysical,Geophysical,"04860, 05086, 05151, 05533, 08261, 09750, 09925, 12805, 14178, 15048, 15453, 16153, 17047, 18055, 20106, 20381, 31620, 22086, 24212, 25491, 28558, 32296",IRON TANK RESOURCES CORPORATION,"Durfeld, Rudolf M.","Durfeld, Rudolf M.",,"Jurassic, Nicola Group, Siltstones, Volcanic breccias, Tuffs, Monzonites, Diorites, Digital data airborne geophysics",31447.58,1.7690000000000001,17777.03787,1.389,22640.446359999998,1.178,26695.738540000002,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32947
4673,33857,1.0,2012/10/19,GEOC:,83061,Arctic Star Exploration Corp. 2011 Exploration and Field Work,2012,2012.0,,2013-10-19,,2012/10/19,77,Cap,093I05E:,093I032:,54,24,0,121,44,5,10,6028765,582139,54.4,-121.73472199999999,RS:TA:NB:,,,PRG,3.0,CBOO:,Cariboo,Cariboo,"CAP01-02,<br>CAP04-05",,,"CAP01-02, CAP04-05",Geochemical,Geochemical,31974,Arctic Star Exploration Corp.,"Dahrouge, Jody","McCallum, Neil; Sandersen, Janine","Rare Earths, Tantalum, Niobium/Columbium","Cambrian-Ordovician, Kechika Group, Ordovician, Misinchinka Group, Gog Group, Limestones, Slates, Dolomites, Greenstones, Greenschists, Skoki Formation, Quartzites, Proterozoic",83393.16,1.7690000000000001,47141.41323,1.389,60038.27214,1.178,70792.1562,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33857
