,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
73,37204,1.0,2017/10/20,PROS:GEOC:,3642,Geochemical Survey on the Zeballos Gold Project,2018,2017.0,,2018-10-20,,2017/10/20,37,Zeballos Gold,092L02W:,092L007:,50,0,8,126,47,47,9,5541205,657912,50.002221999999996,-126.79638899999999,ZN:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,GOLDEN GATE,"092E  002, 092E  023, 092L  005, 092L  006, 092L  211",Zeballos - Kyuquot Area,GOLDEN GATE,"Prospecting,<br>Geochemical","Prospecting, Geochemical","04819, 05079, 12772, 12863, 32298, 34249, 35166, 36167",North Bay Resources Inc. (FMC 204090),North Bay Resources Inc. (FMC 204090),"Oancea, Dan V.",Zinc,"Jurassic, Eocene-Oligocene, Bonanza Group, Calc-alkaline volcanics, Island Plutonic Suite, Granodiorites, Mount Washington Plutonic Suite, Quartz diorites, Vancouver Group, Parson Bay Formation, Limestones, Polymetallic Veins, Pyrrhotite, Pyrite, Chalcopyrite, Sphalerite, Galena, Arsenopyrite, Native gold, Triassic",2550.5,1.926,1324.247144,1.514,1684.6103039999998,1.284,1986.3707170000002,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37204
99,36971,1.0,2017/6/13,PROS:,3406,Geological & Geochemical Assessment Report,2018,2017.0,,2018-06-13,,2017/6/13,29,Gold Queen,092F03W:,092F013:,49,11,7,125,25,8,10,5450869,323741,49.185278000000004,-125.418889,CU:AU:MO:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,River,"092F  046, 092F  051, 092F  052",Tofino - Kennedy River Area,River,Prospecting,Prospecting,"18218, 21563, 22456, 22971, 23451, 23931, 25493","Paterson, Douglas William","BAKUS, JOHN NICK","Sookochoff, Laurence","Copper, Gold, Molybdenum/Molybdenite","Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanic rocks",3298.0,1.926,1712.3572170000002,1.514,2178.335535,1.284,2568.5358260000003,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36971
128,37150,1.0,2017/9/22,PROS:GEOC:,3894,Geochemical Assessment Report on the Santa Barbara Mineral Property,2017,2017.0,,2018-09-22,,2017/9/22,33,Santa Barbara,092L02W:,092L007:,50,1,9,126,45,7,9,5543183,661040,50.019166999999996,-126.751944,AU:,29.0,,NAN,4.0,ALBI:,Alberni,Alberni,"SANTA BARBARA,<br>SANTA BARBARA II","092L  083, 092L  019",Zeballos - Kyuquot Area,"SANTA BARBARA, SANTA BARBARA II","Prospecting,<br>Geochemical","Prospecting, Geochemical","27428, 18928, 26084","Hoogendoorn, Paul","Hoogendoorn, Paul","Hoogendoorn, Paul",Gold,"Triassic, Vancouver Group, Parson Bay Formation, Limestones, Slates, Siltstones, Argillites, Quatsino Formation, Calcareous sedimentary rocks, Eocene-Oligocene, Mount Washington Plutonic Suite, Quartz diorites, Intrusive rocks, Carbonate hosted gold, Dolomites, Andesites",3925.0,1.875,2093.333333,1.474,2662.822252,1.25,3140.0,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37150
168,36783,1.0,2017/3/26,GEOL:PROS:GEOC:,4472,2017 Assessment Report for Prospecting and Geochemistry,2017,2017.0,,2018-03-26,,2017/3/26,40,Zeballos,092L02E:,092L007:,50,2,2,126,44,49,9,5544831,661349,50.033889,-126.746944,DS:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,1043086,"092L  083, 092L  147",Zeballos - Kyuquot Area,1043086,"Geological,<br>Prospecting,<br>Geochemical","Geological, Prospecting, Geochemical","18928, 24184, 12864, 00868",Pacific West Stone Inc.,Pacific West Stone Inc.,"Houle, Jacques (FMC 137830)",Dimension Stone,"Jurassic, Triassic, Eocene, Island Plutonic Suite, Mount Washington Plutonic Suite, Vancouver Group, Parson Bay Formation, Quatsino Formation, Limestones, Marbles, Karmutsen Formation, Basaltic volcanic rocks, Slates, Siltstones, Argillites, Gabbros",4474.59,1.875,2386.448,1.474,3035.678426,1.25,3579.672,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36783
293,37525,1.0,2018/4/18,GEOC:,11188,Geochemical Report on the Thunderbird Claim,2018,2017.0,,2019-04-18,,2018/4/18,61,Thunderbird,092F05E:,092F033:,49,22,22,125,35,56,10,5472145,311343,49.372778000000004,-125.59888899999999,AU:AG:CU:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,1052275,"092F  067, 092F  449, 092F  450, 092F  587, 092F  588",Tofino - Kennedy River Area,1052275,Geochemical,Geochemical,"09378, 12623, 16450, 19374, 26412",Oakley Ventures Inc.,Oakley Ventures Inc.,"Kikauka, Andris (FMC # 114051)","Gold, Silver, Copper","Triassic-Jurassic, Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanics, Jurassic, Island Plutonic Suite, Granodiorites, Quartz diorites, Andesites, Pyrite, Galena, Chalcopyrite",7831.99,1.926,4066.45379,1.514,5173.044914,1.284,6099.680685,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37525
335,36887,1.0,2017/7/8,GEOC:,8524,Geochemical Assessment Report on the Monteith Pyrophyllite Project,2017,2017.0,,2018-07-08,,2017/7/8,45,Monteith Pyrophyllite (Morris Zone),092L03W:,092L014:,50,7,41,127,17,14,9,5554273,622420,50.128056,-127.287222,PL:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"EASY SIX,<br>506981,<br>EASY S,<br>1050244","092L  072, 092L  117, 092L  343",Zeballos - Kyuquot Area,"EASY SIX, 506981, EASY S, 1050244",Geochemical,Geochemical,"08279, 26312, 33796, 35640, 36367","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452",Pyrophyllite,"Triassic-Jurassic, Bonanza Group, Volcanic rocks, Volcanic fragmentals, Volcanic flows, Dacites, Andesites, Flows, Flow dome structures, Silica alteration, Alumina alteration, Pyrophyllite",8810.0,1.875,4698.666667,1.474,5976.933514,1.25,7048.0,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=36887
337,37068,1.0,2017/6/8,GEOL:PROS:,7678,Geological & Prospecting Assessment Report,2018,2017.0,,2018-06-08,,2017/6/8,35,Zeballos,092L02W:,092L006:,50,1,47,126,47,22,9,5544276,658320,50.029722,-126.78944399999999,AU:AG:CU:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"Zeb Back South,<br>Zeb Privateer Tailings,<br>Zeb Pandora,<br>Zeb Maquinna,<br>Zebmaquinna2","092L  004, 092L  023, 092L  026, 092L  027, 092L  029, 092L  129, 092L  130, 092L  210, 092L  310",Zeballos - Kyuquot Area,"Zeb Back South, Zeb Privateer Tailings, Zeb Pandora, Zeb Maquinna, Zebmaquinna2","Geological,<br>Prospecting","Geological, Prospecting","00418, 03056, 03057, 26454, 00309","Anthony, Roman","BAKUS, JOHN NICK","Sookochoff, Laurence","Gold, Silver, Copper","Jurassic, Island Plutonic Suite, Granodiorites, Triassic, Vancouver Group, Quatsino Formation, Limestones, Marbles, Calcareous sedimentary rocks, Bonanza Group, Calc-alkaline volcanics, Eocene-Oligocene, Mount Washington Plutonic Suite, Quartz diorites, Pyrite, Pyrrhotite, Arsenopyrite, Sphalerite, Chalcopyrite, Galena, Hornfels, Skarns",9133.0,1.926,4741.952233,1.514,6032.364597,1.284,7112.928349,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37068
338,37172,1.0,2017/10/9,GEOL:GEOC:,12532,Geological & Geochemical Assessment Report,2018,2017.0,,2018-10-09,,2017/10/9,46,Macktush Gold,092F02W:,092F016:,49,6,53,124,51,11,10,5441856,364787,49.114722,-124.85305600000001,CU:AU:MO:,,,NAN,3.0,ALBI:,Alberni,Alberni,"MACTUSHIE,<br>MACTUSH NORTH,<br>MACTUSH GOLD DEPOSIT EAST,<br>MACTUSH GOLD DEPOSIT",092F  012,,"MACTUSHIE, MACTUSH NORTH, MACTUSH GOLD DEPOSIT EAST, MACTUSH GOLD DEPOSIT","Geological,<br>Geochemical","Geological, Geochemical","33140, 32484, 28989, 12044, 21512, 26823, 33232, 28497","Saulnier, Paul","BAKUS, JOHN NICK","Sookochoff, Laurence","Copper, Gold, Molybdenum/Molybdenite","Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanic rocks, Jurassic, Island Plutonic Suite, Granodiorites, Intrusive rocks",9138.72,1.926,4744.922118,1.514,6036.142668,1.284,7117.383178,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37172
344,37259,1.0,2017/11/8,GEOL:,12855,Technical Report on the Yreka Mineral Claims,2017,2017.0,,2018-11-08,,2017/11/8,30,Yreka,092L05E:,092L043:,50,27,29,127,34,6,9,5590541,601623,50.458056,-127.56833300000001,CU:AG:AU:MO:,31.0,,NAN,3.0,ALBI:,Alberni,Alberni,"944052,<br>TUSCADORA,<br>Y KNOT,<br>ANVIL,<br>FEKK8","092L  052, 092L  104, 092L  105, 092L  231, 092L  236, 092L  336, 092L  451, 092L  452",Island Copper Area,"944052, TUSCADORA, Y KNOT, ANVIL, FEKK8",Geological,Geological,"03164, 03165, 04425, 07981, 25797, 26040, 29396, 30273, 36110",Karmamount Mineral Exploration Inc.,Karmamount Mineral Exploration Inc.,"Wasteneys, Hardolph","Copper, Silver, Gold, Molybdenum/Molybdenite","Triassic, Vancouver Group, Parson Bay Formation, Limestones, Slates, Siltstones, Argillites, Jurassic, Bonanza Group, Calc-alkaline volcanics, Island Plutonic Suite, Granodiorites, Karmutsen Formation, Basalts, Feldspar porphyry dykes, Diorite stocks, Skarns, Pyrrhotite, Chalcopyrite, Pyrite, Magnetite, Hematite, Sphalerite, Galena, Bornite, Molybdenite",9000.0,1.875,4800.0,1.474,6105.8344640000005,1.25,7200.0,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37259
454,37149,1.0,2017/9/22,PHYS:GEOC:,12834,2017 Assessment Report for the Prosper Property,2017,2017.0,,2018-09-22,,2017/9/22,87,Prosper,092F05E:,092F032:,49,23,37,125,44,41,10,5474836,300842,49.393611,-125.744722,AU:AG:CU:PB:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"PROSPER EXTENSION,<br>1052319","092F  053, 092F  054, 092F  056, 092F  250, 092F  354",Tofino - Kennedy River Area,"PROSPER EXTENSION, 1052319","Physical,<br>Geochemical","Physical, Geochemical","02997, 03629, 07439, 13571, 14067, 17620, 21444",New Sunro Copper Ltd.,New Sunro Copper Ltd.,"Houle, Jacques (FMC 137830)","Gold, Silver, Copper, Lead","Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanic rocks, Jurassic, Island Plutonic Suite, Granodiorites, Limestones, Skarns, Polymetallic Veins, Pyrite, Chalcopyrite, Galena, Sphalerite, Native gold, Malachite, Magnetite",12861.04,1.875,6859.2213329999995,1.474,8725.264586,1.25,10288.832,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=37149
