,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
35,34896,1.0,2014/8/15,GEOC:,1799,Physical Report for Statement of Work Red and Blue Claims,2014,2014.0,,2015-08-15,,2014/8/15,20,Red and Blue,092F02E:,092F007:,49,2,55,124,40,0,10,5434198,378217,49.048611,-124.66666699999999,AU:AG:,,,NAN,4.0,ALBI:,Alberni,Alberni,"RED,<br>BLUE,<br>RED",092F  216,,"RED, BLUE, RED",Geochemical,Geochemical,"13672, 14470, 15957, 34071","Saulnier, Paul","Saulnier, Paul","Saulnier, Paul","Gold, Silver","Jurassic, Triassic, Bonanza Group, Vancouver Group, Karmutsen Formation, Basaltic volcanics, Calc-alkaline volcanics, Island Plutonic Suite, Granodiorites, Pyrite, Chalcopyrite, Galena",1812.26,1.785,1015.271709,1.402,1292.624822,1.189,1524.188394,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=34896
147,34992,1.0,2014/5/20,PROS:,3983,Physical Prospecting Report on the Zeballos Vancouver Island Mineral Property,2014,2014.0,,2015-05-20,,2014/5/20,55,Zeballos Vancouver Island,092L02W:,092L007:,50,2,28,126,47,11,9,5545549,658501,50.041111,-126.78638899999999,AU:,29.0,,NAN,4.0,ALBI:,Alberni,Alberni,"ZEBALLOS DOLOMITE,<br>1020254,<br>ROCK4","092L  022, 092L  023, 092L  024, 092L  026, 092L  028, 092L  029, 092L  128, 092L  129, 092L  130, 092L  210, 092L  212, 092L  213",Zeballos - Kyuquot Area,"ZEBALLOS DOLOMITE, 1020254, ROCK4",Prospecting,Prospecting,"00418, 03056, 03057, 07012, 07761, 12077, 12864, 18770, 26454","Zimmer, Christoper James; Anthony, Roman","BAKUS, JOHN NICK; Anthony, Roman","BAKUS, JOHN NICK",Gold,"Jurassic, Bonanza Group, Calc-alkaline volcanics, Eocene, Quartz diorite stocks, Catface Intrusions, Veins, Pyrite, Arsenopyrite, Sphalerite, Galena, Island Plutonic Suite, Vancouver Group, Quatsino Formation, Limestones, Marbles, Basaltic volcanics",3984.0,1.785,2231.932773,1.402,2841.654779,1.189,3350.7148859999998,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=34992
298,35300,1.0,2014/11/22,GEOL:,10714,Geological Assessment Report on a Structural Analysis,2015,2014.0,,2015-11-22,,2014/11/22,28,Patmore,092L03E:,092L005:,50,0,5,127,5,15,9,5540538,637055,50.001389,-127.0875,AU:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"594046,<br>1024255,<br>ADAM,<br>1024653,<br>JILLIAN,<br>JOHNNY B GOOD,<br>JOHNNY B","092L  033, 092L  101, 092L  437, 092L  438",Zeballos - Kyuquot Area,"594046, 1024255, ADAM, 1024653, JILLIAN, JOHNNY B GOOD, JOHNNY B",Geological,Geological,"07062, 14369, 14744, 15079, 15153, 15903","Murphy, David W.; BAKUS, JOHN NICK","Murphy, David W.; BAKUS, JOHN NICK","Sookochoff, Laurence",Gold,"Jurassic, Island Plutonic Suite, Granodiorites, Bonanza Group, Calc-alkaline volcanics, Pyrite, Limonite, Telluride, Sphalerite, Chalcopyrite, Malachite, Linear analysis",7500.0,1.804,4157.427938000001,1.4169999999999998,5292.872265,1.202,6239.600665999999,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35300
299,35364,1.0,2015/4/2,GEOP:,10205,Geological Assessment Report on a Structural Analysis,2015,2014.0,,2016-04-02,,2015/4/2,27,Gold 1035068,092F06W:,092F033:,49,18,46,125,24,42,10,5465037,324717,49.312778,-125.411667,AU:AG:,,,NAN,3.0,ALBI:,Alberni,Alberni,"Snow 38 G/T AU DX X 2 FT,<br>LAKE,<br>SIDE 1,<br>Snow Van Isle West,<br>Snow 5 Pass North","092F  336, 092F  586",,"Snow 38 G/T AU DX X 2 FT, LAKE, SIDE 1, Snow Van Isle West, Snow 5 Pass North",Geophysical,Geophysical,"16208, 17269, 17574, 17575, 17708, 22443, 25663","BAKUS, JOHN NICK","Paterson, Douglas William; Paterson, Thomas Robert","Sookochoff, Laurence","Gold, Silver","Jurassic, Jurassic, Island Plutonic Suite, Island Plutonic Suite, Granodiorites, Granodiorites, Triassic, Triassic, Vancouver Group, Vancouver Group, Karmutsen Formation, Karmutsen Formation, Basaltic volcanics, Basaltic volcanics, Veins, Veins, Pyrite, Pyrite, Galena, Galena, Chalcopyrite, Chalcopyrite, Sphalerite, Sphalerite, Linear analysis",7500.0,1.804,4157.427938000001,1.4169999999999998,5292.872265,1.202,6239.600665999999,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35364
325,35017,1.0,2014/6/1,PROS:GEOC:,8135,Geochemical and Prospecting Report on the Kennedy River Gold Project,2014,2014.0,,2015-06-01,,2014/6/1,67,Kennedy River Gold Project,092F03W:,092F013:,49,9,19,125,24,21,10,5447504,324586,49.155278,-125.405833,AU:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"ESTHER,<br>IB,<br>950554,<br>1025204,<br>1025205","092F  033, 092F  045, 092F  046, 092F  051, 092F  099, 092F  480, 092F  028, 092F  121, 092F  049, 092F  050, 092F  047, 092F  052",Tofino - Kennedy River Area,"ESTHER, IB, 950554, 1025204, 1025205","Prospecting,<br>Geochemical","Prospecting, Geochemical","32332, 25493, 18693, 11940, 16729, 09606, 31904, 14279, 05122, 16474","Zimmer, Christoper James; McKinney, William (Bill)","Patterson, D.M.; BAKUS, JOHN NICK","BAKUS, JOHN NICK",Gold,"Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanics, Jurassic, Island Plutonic Suite, Granodiorites, Sedimentary rocks, Quartz veins, Quartz-sulphide veins, Pyrite, Pyrrhotite, Chalcopyrite, Sphalerite, Arsenopyrite, Galena",8135.82,1.785,4557.882353,1.402,5803.009986,1.189,6842.573590999999,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35017
446,35373,1.0,2014/12/9,PROS:GEOC:,7823,"Technical Assessment Report Prospecting, Geophysical and Geochemistry Program",2015,2014.0,,2015-12-09,,2014/12/9,51,Old BDQ,092F02E:,092F017:,49,6,34,124,42,40,10,5441032,375122,49.109444,-124.71111100000002,AU:AG:CU:,24.0,,NAN,4.0,ALBI:,Alberni,Alberni,"OLD BDQ MINE,<br>OLD BDQ MINE 2,<br>OLD BDQ MINE 3,<br>OLD BDQ MINE 4,<br>PAT CREEK SHOWINGS,<br>PAT CREEK SHOWINGS 2","092F  348, 092F  457",Sicker Belt,"OLD BDQ MINE, OLD BDQ MINE 2, OLD BDQ MINE 3, OLD BDQ MINE 4, PAT CREEK SHOWINGS, PAT CREEK SHOWINGS 2","Prospecting,<br>Geochemical","Prospecting, Geochemical",15197,"Beaudoin, Jacques Aime","Beaudoin, Jacques Aime","Beaudoin, Jacques Aime","Gold, Silver, Copper","Triassic, Vancouver Group, Karmutsen Formation, Cretaceous, Nanaimo Group, Sedimentary rocks, Jurassic, Island Plutonic Suite, Granodiorites, Quartz diorites, Quartz diorite porphyry, Basalts, Siltstones, Chalcopyrite",12000.0,1.804,6651.884701,1.4169999999999998,8468.595625,1.202,9983.361065000001,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35373
473,35566,1.0,2015/4/13,GEOC:,16397,Report on Geochemical Sampling Deer Bay Property,2015,2014.0,,2016-04-13,,2015/4/13,21,Deer Bay,092F04E:,092F022:,49,12,46,125,37,36,10,5454431,308708,49.212778,-125.626667,CU:NI:CO:AU:PT:PD:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,NICK 2,092F  029,Tofino - Kennedy River Area,NICK 2,Geochemical,Geochemical,"13121, 14182, 14315, 15155, 15447, 21136, 22749, 30898, 33803","Birkeland, Arne O. (FMC 102420)","Birkeland, Arne O. (FMC 102420); Buckland, Peter","Birkeland, Arne O. (FMC 102420)","Copper, Nickel, Cobalt, Gold, Platinum, Palladium","West Coast Complex, Tertiary, Jurassic, Island Intrusions, Catface Intrusions, Amphibolites, Pyrite, Pyrrhotite, Marcasite, Chalcopyrite, Galena, Mississippian-Permian, Buttle Lake Group, Sedimentary rocks, Digital data geochemistry",13302.63,1.804,7373.963415,1.4169999999999998,9387.882851,1.202,11067.07987,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35566
511,35204,1.0,2014/12/17,PROS:,14589,Technical Assessment Report for a Prospecting Program H&D Property,2014,2014.0,,2015-12-17,,2014/12/17,28,H&D,092C15W:,092C096:,48,58,14,124,55,41,10,5425974,358898,48.970556,-124.92805600000001,CU:AU:AG:PB:ZN:FE:,,,NAN,4.0,ALBI:,Alberni,Alberni,"1024724,<br>1025095","092C  001, 092C  048",,"1024724, 1025095",Prospecting,Prospecting,"08507, 09761, 10840","Bruner, Danny","Bruner, Danny","Houle, Jacques (FMC 137830)","Copper, Gold, Silver, Lead, Zinc, Iron","Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanics, Jurassic, Island Plutonic Suite, Granodiorites, Bonanza Group, Calc-alkaline volcanics, Skarns, Magnetite, Chalcopyrite, Sphalerite, Galena, Pyrite, Pyrrhotite, Garnetite",14610.0,1.785,8184.87395,1.402,10420.82739,1.189,12287.63667,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35204
954,34837,1.0,2014/6/25,GEOL:,10707,Geolgical Assessment Report on a Structural Analysis Skyline Claim Group,2014,2014.0,,2015-06-25,,2014/6/25,25,Skyline,092F02E:,092F018:,49,6,9,124,35,32,10,5440056,383787,49.1025,-124.59222199999999,,25.0,,NAN,3.0,ALBI:VICT:,"Alberni,<br>Victoria","Alberni, Victoria","ISLAND,<br>ISLAND 3,<br>SKYLINE ISLAND 2,<br>983455,<br>1018729","092F  081, 092F  438",Tofino - Kennedy River Area,"ISLAND, ISLAND 3, SKYLINE ISLAND 2, 983455, 1018729",Geological,Geological,27372,"BAKUS, JOHN NICK","BAKUS, JOHN NICK","Sookochoff, Laurence",,"Devonian, Sicker Group, Duck Lake Formation, Basaltic volcanics, Quartz veins, Pyrite, Arsenopyrite, Galena",7500.0,1.785,4201.6806719999995,1.402,5349.500713,1.189,6307.821699,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=34837
974,35392,1.0,2015/4/23,PROS:GEOC:,1123,Event 5552314 Keystone Project Assessment Report on Tracking Potential Sources of Placer Gold,2015,2014.0,,2016-04-23,,2015/4/23,35,Keystone,104N11W:,104N053:,59,35,10,133,26,4,8,6606348,588414,59.586110999999995,-133.43444399999998,AU:,53.0,,SMI,3.0,ATLN:,Atlin,Atlin,LUCKY CHARM#1,,Atlin Camp,LUCKY CHARM#1,"Prospecting,<br>Geochemical","Prospecting, Geochemical",,"Aspinall, Nicholas Clive","Aspinall, Nicholas Clive; Javorsky, David","Aspinall, Nicholas Clive",Gold,"Quartz veins, Metabasalts, Galena, Mississippian-Permian, Cache Creek Complex, Nakina Formation, Basaltic volcanic rocks, Ultramafic rocks",991.48,1.804,549.6008869,1.4169999999999998,699.7035992000001,1.202,824.8585691000001,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=35392
