,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
107,25553,1.0,1998/5/19,GEOC:,1700,Study of Grade Distribution on Electrum Property,1998,1998.0,,1999-05-19,,1998/5/19,18,Electrum,092L03W:,092L014,50,9,59,127,22,36,9,5558392,615935,50.166389,-127.376667,AU:AG:,29.0,,VAN,3.0,ALBI:,Alberni,Alberni,Electrum,092L  227,Zeballos - Kyuquot Area,Electrum,Geochemical,Geochemical,"15521, 17763","Graham, John Donald","Graham, John Donald","Graham, John Donald","Gold, Silver","Limestones, Quartz veins, Quartz carbonate veins, Electrum, Pyrite, Chalcopyrite",2539.86,1.4,1814.185714,1.1,2308.963636,0.934,2719.3361879999998,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25553
196,26096,1.0,1999/9/7,PROS:,1000,Prospecting Report on the Kukutka Property,1999,1998.0,,2000-09-07,,1999/9/7,19,Kukutka,092E16E:,9.20E+91,49,50,31,126,7,58,9,5525001,706144,49.841944,-126.132778,,,,VAN,4.0,ALBI:,Alberni,Alberni,"Kukutka 1,<br>Kukutt 1",,,"Kukutka 1, Kukutt 1",Prospecting,Prospecting,23316,"Specogna, Efrem","Specogna, Efrem","Specogna, Efrem",,"Island Intrusions, Ultrabasics",3850.0,1.416,2718.926554,1.112,3462.2302159999995,0.9440000000000001,4078.3898310000004,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=26096
208,25749,1.0,1998/11/9,GEOC:,2000,Geochemical Report on Scrutor Property,1998,1998.0,,1999-11-09,,1998/11/9,17,Scrutor,092L03E:,092L015,50,8,29,127,1,6,9,5556231,641598,50.141389000000004,-127.01833300000001,AU:AG:CU:,29.0,,VAN,3.0,ALBI:,Alberni,Alberni,Scrutor,092L  100,Zeballos - Kyuquot Area,Scrutor,Geochemical,Geochemical,"14618, 15562, 17134",Rex Ventures Ltd.,"Heyman, David A.","McCrossan, Ed","Gold, Silver, Copper","Jurassic, Bonanza Group, Andesitic tuffs, Siltstones, Shear zones, Pyrite",4120.0,1.4,2942.857143,1.1,3745.4545450000005,0.934,4411.134904,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25749
220,25691,1.0,1998/9/11,GEOL:GEOC:,2400,Assessment Report on Tuzex Property,1998,1998.0,,1999-09-11,,1998/9/11,45,Tuzex,092C15E:,092C087:,48,52,59,124,41,5,10,5415824,376489,48.883055999999996,-124.684722,,23.0,,VAN,3.0,ALBI:,Alberni,Alberni,Tuzex 1-2,092C  119,Sarita - Gordon River Area,Tuzex 1-2,"Geological,<br>Geochemical","Geological, Geochemical",17406,"Ruza, Lenka","Ruza, Lenka","Allen, Gordon J.",,"Triassic, Karmutsen Formation, Basalts, Pyrite, Pyrrhotite, Chalcopyrite, Quartz veins",4303.0,1.4,3073.571429,1.1,3911.818182,0.934,4607.066381000001,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25691
617,25831,1.0,1998/11/16,GEOP:,7500,"Geophysical Report, Induced Polarization Survey on the Mount Redford Property",1998,1998.0,,1999-11-16,,1998/11/16,15,Mount Redford,092F03W:,092F003,49,3,59,125,25,5,10,5437652,323380,49.066389,-125.418056,,25.0,,VAN,3.0,ALBI:,Alberni,Alberni,"KO 5,<br>Draw 8-9",,Tofino - Kennedy River Area,"KO 5, Draw 8-9",Geophysical,Geophysical,,Consolidated Logan Mines Ltd.,"Young, Seamus; Consolidated Logan Mines Ltd.","Sheldrake, Ronald F.; Dujakovic, Zoran",,"Jurassic, Coast Plutonic Complex, Diorites, Basalts, Limestones, Stockworks, Arsenopyrite",19372.0,1.4,13837.14286,1.1,17610.90909,0.934,20740.89936,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25831
697,25829,1.0,1998/11/20,PHYS:GEOC:,40800,Geochemical Report on the Lucky Property,1999,1998.0,,1999-11-20,,1998/11/20,43,Lucky,092F03W:,092F004,49,3,59,125,18,5,10,5437387,331901,49.066389,-125.30138899999999,AU:CU:,25.0,,VAN,3.0,ALBI:,Alberni,Alberni,"KX,<br>K 6-7,<br>SP 1-4,<br>Wick,<br>KNV,<br>Toq 1-6,<br>Peak,<br>KO 1-6,<br>Ridge,<br>KT 1-4,<br>Base 2,<br>CKO 1-3","092F  034, 092F  540, 092F  542",Tofino - Kennedy River Area,"KX, K 6-7, SP 1-4, Wick, KNV, Toq 1-6, Peak, KO 1-6, Ridge, KT 1-4, Base 2, CKO 1-3","Physical,<br>Geochemical","Physical, Geochemical","10626, 11545, 12318, 12545, 12580, 14188, 15685, 17108, 17224, 18491, 18567, 19826, 22163, 22592, 23004, 23312, 23668, 24252, 24306, 25429",Electrum Resource Corp. (FMC 107591),Electrum Resource Corp. (FMC 107591),"Staargaard, C.F.","Gold, Copper","Jurassic, Karmutsen Formation, Basalts, Diorites, Quartz monzonites, Stockworks, Pyrite, Chalcopyrite",31404.0,1.416,22177.9661,1.112,28241.007189999997,0.9440000000000001,33266.94915,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25829
879,25663,1.0,1998/7/3,DRIL:PHYS:GEOC:,55400,Assessment Report on the Snow Property,1998,1998.0,,1999-07-03,,1998/7/3,45,Snow,092F06W:,092F033:,49,18,59,125,25,5,10,5465441,324268,49.316389,-125.418056,AU:,,,VAN,3.0,ALBI:,Alberni,Alberni,Snow 1-2,092F  336,,Snow 1-2,"Drilling,<br>Physical,<br>Geochemical","Drilling, Physical, Geochemical","17269, 17574, 17575, 22443",Snowfield Res.,Area Explorations Ltd.,"Yorston, Robert; Bailey, David G.",Gold,"Triassic, Karmutsen Formation, Island Intrusions, Basalts, Quartz veins, Pyrite, Galena, Sphalerite, Chalcopyrite",169111.81,1.4,120794.15,1.1,153738.0091,0.934,181061.8951,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25663
1328,25882,1.0,1999/4/1,GEOL:GEOC:,8000,Evaluation Report on the Arsenault Property,1999,1998.0,,2000-04-01,,1999/4/1,66,Arsenault,104O13E:,104O082,59,47,59,131,42,6,9,6632196,348425,59.799721999999996,-131.701667,CU:AU:,,,SMI,3.0,ATLN:,Atlin,Atlin,"Twin,<br>Win",104O  011,,"Twin, Win","Geological,<br>Geochemical","Geological, Geochemical","01149, 02976, 03014, 03502, 04094, 08022, 10411, 19082, 20137","Traynor, Steve","Traynor, Steve","Traynor, Steve","Copper, Gold","Big Salmon Complex, Mica schists, Quartzites, Pyrite, Chalcopyrite, Skarns",9609.58,1.416,6786.426554000001,1.112,8641.708633,0.9440000000000001,10179.63983,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25882
1336,25816,1.0,1998/10/2,PROS:,6000,Geological Report on the Ericksen-Ashby Property,1998,1998.0,,1999-10-02,,1998/10/2,17,Ericksen-Ashby,104K11W:,104K063,58,40,1,133,28,7,8,6503981,588825,58.666943999999994,-133.468611,,,,SMI,3.0,ATLN:,Atlin,Atlin,Erik 1-3,104K  009,,Erik 1-3,Prospecting,Prospecting,"00076, 00543, 07707, 10026",XPlorer Gold Corp.,XPlorer Gold Corp.,"Thorson, Jon P.",,"Andesites, Basalts, Tuffs, Massive sulphides",9712.0,1.4,6937.142856999999,1.1,8829.090909,0.934,10398.28694,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25816
1340,25460,1.0,1998/3/26,GEOP:PHYS:,9800,"Magnetic and HLEM Survey on the King Salmon Block, Red Cap Property",1998,1998.0,,1999-03-26,,1998/3/26,29,Red Cap,104K14W:104K14E:,104K074:,58,47,1,133,15,7,8,6517276,601052,58.783611,-133.25194399999998,AU:AG:CO:CU:PB:ZN:,,,SMI,3.0,ATLN:,Atlin,Atlin,Red Cap 3,,,Red Cap 3,"Geophysical,<br>Physical","Geophysical, Physical",,XPlorer Gold Corp.,XPlorer Gold Corp.,"Lee, Carmen C.","Gold, Silver, Cobalt, Copper, Lead, Zinc","Triassic, Stuhini Group, Quartz-feldspar porphyry dykes",9800.0,1.4,7000.0,1.1,8909.090909,0.934,10492.50535,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=25460
