,rep_no,cnf_prd,aff_dt,gwrk_typs,claim_val,title,rep_yr,wrk_yr,conf_ldate,conf_adate,aff_ndate,aff_adate,page_ct,prpty_nm,nts_maps,bcgs_maps,lat83_deg,lat83_min,lat83_sec,lon83_deg,lon83_min,lon83_sec,zone83,north83,east83,lat83,long83,com_cds,camp_cd,geo_sum,reg_geo,info_cls,mdiv_cds,mdiv_nmx,mdiv_nms,claim_nmx,minf_nox,camp_nm,claim_nms,gwrk_nmx,gwrk_nms,rel_ars,oper_nms,own_nms,auth_nms,com_nms,kwl_nms,MERG_SPENT,DOLL_INX,doll_86,CPIdex1992,doll_92,CPIdex2002,doll_02,URL
100,33232,1.0,2011/12/13,PROS:,3046,Prospecting Survey Report Hook Bay Cu Property,2012,2011.0,,2012-12-13,,2011/12/13,25,Hook Bay,092F02W:,092F006:,49,4,49,124,52,36,10,5438074,362950,49.080278,-124.876667,CU:AG:AU:,,,NAN,3.0,ALBI:,Alberni,Alberni,840842,092F  195,,840842,Prospecting,Prospecting,12044,"Ferguson, Delbert W.","Ferguson, Delbert W.","Ferguson, Delbert W.","Copper, Silver, Gold","Triassic, Vancouver Group, Karmutsen Formation, Basaltic volcanics, Jurassic, Island Plutonic Suite, Granodiorites",3100.0,1.7690000000000001,1752.402487,1.389,2231.821454,1.178,2631.578947,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33232
176,32090,1.0,2011/2/3,PROS:,3708,"Geochemical, Prospecting Report on the Bitterroot Property",2011,2011.0,,2012-02-03,,2011/2/3,36,Bitterroot,092F07E:,092F027:,49,16,33,124,42,19,10,5459519,375965,49.275833,-124.705278,,24.0,,NAN,3.0,ALBI:,Alberni,Alberni,"700664,<br>700827,<br>701146,<br>705562,<br>705563,<br>705712,<br>700683","092F  246, 092F  451, 092F  452",Sicker Belt,"700664, 700827, 701146, 705562, 705563, 705712, 700683",Prospecting,Prospecting,30529,"Saulnier, Paul","Saulnier, Paul","Saulnier, Paul",,"Devonian-Permian, Nitinat Formation, McLaughlin Ridge Formation, Mount Mark Formation, Karmutsen Formation, Limestones, Basalts",4386.09,1.75,2506.337143,1.374,3192.20524,1.165,3764.88412,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32090
225,32897,1.0,2010/11/28,GEOC:,6487,Geological and Rock Geochemistry at the DAAS Bornite Vein Deposit,2012,2011.0,,2011-11-28,,2010/11/28,18,DASS,092F13E:,092F092:,49,56,47,125,41,50,10,5536158,306495,49.946389,-125.697222,CU:,,,NAN,3.0,ALBI:,Alberni,Alberni,571072,,,571072,Geochemical,Geochemical,30383,"Crombie, Walter","Crombie, Walter","Wasteneys, Hardolph",Copper,"Triassic, Karmutsen Formation, Basalts, Bornite",5578.23,1.7690000000000001,3153.3239120000003,1.389,4016.0043200000005,1.178,4735.339559,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32897
336,32556,1.0,2011/9/12,GEOP:,6102,Assessment Report Spectral Data Fusion and Spectral Analyses on the WWW Property,2011,2011.0,,2012-09-12,,2011/9/12,24,WWW,092F02E:,092F007:,49,0,41,124,43,1,10,5430142,374450,49.011389,-124.716944,,,,NAN,3.0,ALBI:,Alberni,Alberni,516512,,,516512,Geophysical,Geophysical,"30045, 30948, 31357, 31821","McLelland, Julie","McLelland, Julie","McLelland, David",,"Jurassic, Karmutsen Formation, Island Plutonic Suite, Granodiorites, Diorites, Basalts",8216.66,1.75,4695.234286,1.374,5980.101892000001,1.165,7052.927039,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32556
352,32876,1.0,2011/5/19,GEOP:,8648,Assessment Report Tahsis Area Project,2011,2011.0,,2012-05-19,,2011/5/19,23,Tahsis,092E15W:,092E096:,49,44,50,126,29,11,9,5513572,681081,49.747222,-126.48638899999999,CU:,,,NAN,3.0,ALBI:,Alberni,Alberni,"534520,<br>534845,<br>549088,<br>566323,<br>574699",092E  020,,"534520, 534845, 549088, 566323, 574699",Geophysical,Geophysical,31969,Rock-Con Resources Inc.,Rock-Con Resources Inc.,Auracle Geospatial Science Inc.,Copper,"Triassic, Vancouver Group, Quatsino Formation, Eocene-Oligocene, Mount Washington Plutonic Suite, Granodiorites, Limestones, Marbles",8656.37,1.75,4946.497143,1.374,6300.123726,1.165,7430.360515,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32876
358,33624,1.0,2012/5/10,PROS:,7914,Prospecting Report on the Wiskey Jack Property,2012,2011.0,,2013-05-10,,2012/5/10,31,Wiskey Jack,092F03W:,092F014:,49,6,59,125,18,5,10,5442945,332070,49.116389,-125.30138899999999,,25.0,,NAN,4.0,ALBI:,Alberni,Alberni,"Wiskey Jack,<br>Sherelle,<br>Danny Boy",,Tofino - Kennedy River Area,"Wiskey Jack, Sherelle, Danny Boy",Prospecting,Prospecting,,"Herriott, Douglas; Brouwer, Douglas A.","Herriott, Douglas; Brouwer, Douglas A.","Herriott, Douglas; Brouwer, Douglas A.",,"Jurassic, Triassic, Island Plutonic Suite, Karmutsen Formation, Basalts, Granodiorites",8930.88,1.7690000000000001,5048.547202000001,1.389,6429.719222,1.178,7581.3921900000005,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33624
387,32298,1.0,2011/6/24,PROS:,9712,Technical Report on the Zeballos Gold Project,2011,2011.0,,2012-06-24,,2011/6/24,69,Zeballos Gold,092E15W:,092E096:,49,59,50,126,50,38,9,5540550,654525,49.997222,-126.84388899999999,,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"Golden Gate,<br>Golden Gate 5","092E  002, 092E  023, 092L  005, 092L  006",Zeballos - Kyuquot Area,"Golden Gate, Golden Gate 5",Prospecting,Prospecting,"09881, 12573, 12772, 12863",North Bay Resources Inc. (FMC 204090),North Bay Resources Inc. (FMC 204090),"Simmons, Brian",,"Jurassic, Bonanza Group, Island Plutonic Suite, Granodiorites, Andesites",9713.11,1.75,5550.348571,1.374,7069.221251999999,1.165,8337.433476,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32298
403,32669,1.0,2011/10/18,GEOL:GEOC:,5657,Prospecting and Technical Report on the Artlish-Sally-Selene Property,2011,2011.0,,2012-10-18,,2011/10/18,48,Artlish,092L02W:,092L016:,50,7,55,126,59,45,9,5555224,643234,50.131944,-126.995833,CU:ZN:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"563577,<br>563579,<br>588892",,Zeballos - Kyuquot Area,"563577, 563579, 588892","Geological,<br>Geochemical","Geological, Geochemical","30217, 30219, 31151, 31927","Buddick, Vincent","Buddick, Vincent","Buddick, Vincent","Copper, Zinc","Jurassic, Bonanza Group, Island Intrusives, Rhyolites, Granodiorites",10374.86,1.75,5928.491429,1.374,7550.84425,1.165,8905.459227,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32669
546,32557,1.0,2011/7/25,GEOP:,17290,Spectral Data Fusion and Spectral Analyses on the WWW Property,2011,2011.0,,2012-07-25,,2011/7/25,27,WWW,092F02E:,092F007:,49,0,17,124,40,47,10,5429340,377150,49.004721999999994,-124.679722,,,,NAN,3.0,ALBI:,Alberni,Alberni,"516513,<br>516514",,,"516513, 516514",Geophysical,Geophysical,"30045, 30948, 31816, 32342","McLelland, Julie","McLelland, Julie","McLelland, David",,"Jurassic, Island Plutonic Suite, Karmutsen Formation, Basalts, Granodiorites",16433.34,1.75,9390.48,1.374,11960.218340000001,1.165,14105.87124,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32557
587,32940,1.0,2011/12/19,GEOC:,25356,Geochemical Report on the Catface NE Property,2012,2011.0,,2012-12-19,,2011/12/19,57,Catface NE,092F05W:,092F031:,49,20,16,125,52,18,10,5468973,291396,49.337778,-125.87166699999999,CU:MO:AU:,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"CC 2-3,<br>CC 5-6","092F  227, 092F  499",Tofino - Kennedy River Area,"CC 2-3, CC 5-6",Geochemical,Geochemical,"19182, 19330, 19766, 20561, 31891",Catface Copper Mines Ltd.,Catface Copper Mines Ltd.,"Corlazzoli, Jason","Copper, Molybdenum/Molybdenite, Gold","Devonian, Triassic, Sicker Group, Karmutsen Formation, Pyroclastics, Gabbros, Basalts, Tuffs",21178.86,1.7690000000000001,11972.221590000001,1.389,15247.5594,1.178,17978.65874,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32940
636,33041,1.0,2011/9/25,GEOC:,25250,Geological and Geochemical Report on the Scrutor Gold Property,2011,2011.0,,2012-09-25,,2011/9/25,96,Scrutor Gold,092L03E:,092L015:,50,8,10,127,1,30,9,5555632,641138,50.136111,-127.025,AU:AG:CU:,29.0,,NAN,3.0,ALBI:,Alberni,Alberni,"Tahsish One,<br>Artlish Two,<br>Scrutor North",092L  100,Zeballos - Kyuquot Area,"Tahsish One, Artlish Two, Scrutor North",Geochemical,Geochemical,"14608, 15562, 17134, 19820, 25749, 29591, 30218, 31961","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Shearer, Johan Tom FMC 124452","Gold, Silver, Copper","Jurassic, Bonanza Group, Island Plutonic Suite, Granodiorites, Andesites, Crystal tuffs, Rhyolites, Argillites",27258.5,1.75,15576.28571,1.374,19838.79185,1.165,23397.85408,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33041
702,32456,1.0,2011/7/28,GEOC:,45653,Geochemical Assessment Report on the Fandora Gold Property,2011,2011.0,,2012-07-28,,2011/7/28,68,Fandora Gold,092F04E:,092F022:,49,14,32,125,40,29,10,5457826,305325,49.242222,-125.674722,,25.0,,NAN,3.0,ALBI:,Alberni,Alberni,"508912,<br>537994,<br>537995,<br>593801","092F  041, 092F  040, 092F  046",Tofino - Kennedy River Area,"508912, 537994, 537995, 593801",Geochemical,Geochemical,"12034, 13281, 13441, 17722, 17764, 26139, 29325, 31379",Selkirk Metals Corp.,Selkirk Metals Corp.,"Miller-Tait, Jim",,"Devonian, Jurassic, West Coast Complex, Island Plutonic Suite, Sicker Group, Granodiorites, Amphibolites, Andesites, Basalts, Greenstones",40408.66,1.75,23090.66286,1.374,29409.50509,1.165,34685.545060000004,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32456
711,33577,1.0,2012/11/13,PROS:GEOC:,42243,Technical Assessment Report for a Prospecting and Geochemistry Program on the Old Joe Property,2012,2011.0,,2013-11-13,,2012/11/13,36,Old Joe,092F06E:,092F035:,49,20,48,125,1,56,10,5467981,352397,49.346667,-125.03222199999999,CU:AG:AU:,,,NAN,3.0,ALBI:,Alberni,Alberni,"POONTANG2,<br>JOHNNY BOY1,<br>OLD JOE,<br>BOOTS ON THE GROUND,<br>ASH 276,<br>940215,<br>MUD LAKE,<br>POONTANG3,<br>MUD LAKE PIT EXTENSION,<br>ASH 276,<br>941482,<br>964869,<br>964889,<br>964909,<br>964929,<br>975698,<br>975707,<br>977092","092F  293, 092F  340, 092F  415, 092F  430",,"POONTANG2, JOHNNY BOY1, OLD JOE, BOOTS ON THE GROUND, ASH 276, 940215, MUD LAKE, POONTANG3, MUD LAKE PIT EXTENSION, ASH 276, 941482, 964869, 964889, 964909, 964929, 975698, 975707, 977092","Prospecting,<br>Geochemical","Prospecting, Geochemical","16101, 16239, 19943, 21401","Bruner, Danny","Bruner, Danny","Houle, Jacques (FMC 137830)","Copper, Silver, Gold","Jurassic, Island Plutonic Suite, Granodiorites, Triassic, Vancouver Group, Karmutsen Formation, Mafic volcanics, Chalcopyrite, Pyrite, Bornite, Chlorite alteration, Porphyries",42294.74,1.7690000000000001,23908.84115,1.389,30449.77682,1.178,35903.853989999996,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=33577
729,32603,1.0,2011/9/28,GEOP:,47926,Geophysical Assessment Report on the Nahmint Property,2011,2011.0,,2012-09-28,,2011/9/28,39,Nahmint,092F02W:,092F006:,49,2,29,124,53,5,10,5433768,362264,49.041389,-124.884722,,,,NAN,3.0,ALBI:,Alberni,Alberni,"TJM 1,<br>TJM 8-9,<br>TJM 12",092F  140,,"TJM 1, TJM 8-9, TJM 12",Geophysical,Geophysical,"08286, 29574, 30799, 31248",Nahminto Resources Ltd.,Nahminto Resources Ltd.,"Pezzot, E. Trent",,"Jurassic, Bonanza Group, Volcanics, Limestone, Skarns",48075.41,1.75,27471.662860000004,1.374,34989.381369999996,1.165,41266.44635,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32603
744,32484,1.0,2011/9/19,GEOL:GEOC:,53271,2011 Geological and Geochemical Technical Exploration Report on the Macktush Copper Property,2011,2011.0,,2012-09-19,,2011/9/19,111,Macktush Copper,092F02W:,092F016:,49,9,27,124,54,57,10,5446732,360317,49.1575,-124.915833,,,,NAN,3.0,ALBI:,Alberni,Alberni,"512249,<br>Copper 106-109",092F  221,,"512249, Copper 106-109","Geological,<br>Geochemical","Geological, Geochemical","01591, 12052, 13949, 15658, 15970, 28989, 32297",G4G Resources Ltd.,G4G Resources Ltd.,"Sanabria Orellana, Raul; Hills, L.",,"Triassic-Jurassic, Karmutsen Formation, Quatsino Formation, Bonanza Group, Basalts",53272.44,1.75,30441.394289999997,1.374,38771.790389999995,1.165,45727.41631,http://aris.empr.gov.bc.ca/search.asp?mode=repsum&rep_no=32484
